equipment_unit_id,site_id,equipment_category,serial_number,installed_date
EQ-00059,ST-0008,storage_tank,SN-STO-79161,2018-10-27
EQ-00060,ST-0009,storage_tank,SN-STO-97708,2011-05-10
EQ-00061,ST-0009,compressor,SN-COM-61042,2016-06-17
EQ-00062,ST-0009,switchgear,SN-SWI-28108,2014-07-28
EQ-00063,ST-0010,conveyor_system,SN-CON-43073,2011-02-25
EQ-00064,ST-0010,boiler,SN-BOI-80285,2005-07-22
EQ-00065,ST-0010,conveyor_system,SN-CON-15367,2006-08-16
EQ-00066,ST-0010,compressor,SN-COM-33301,2017-03-21
EQ-00067,ST-0010,compressor,SN-COM-72721,2007-07-18
EQ-00068,ST-0010,chiller,SN-CHI-60934,2015-11-18
EQ-00069,ST-0010,control_panel,SN-CON-34803,2016-11-21
EQ-00070,ST-0010,hvac_unit,SN-HVA-45934,2013-10-10
EQ-00071,ST-0011,industrial_pump,SN-IND-72996,2015-04-18
EQ-00072,ST-0011,chiller,SN-CHI-85699,2016-03-13
EQ-00073,ST-0011,conveyor_system,SN-CON-54175,2009-03-28
EQ-00074,ST-0011,switchgear,SN-SWI-88538,2005-01-15
EQ-00075,ST-0011,conveyor_system,SN-CON-96963,2010-07-21
EQ-00076,ST-0011,conveyor_system,SN-CON-98757,2012-06-16
EQ-00077,ST-0011,hvac_unit,SN-HVA-65962,2015-06-12
EQ-00078,ST-0011,hvac_unit,SN-HVA-90279,2006-08-07
EQ-00079,ST-0011,switchgear,SN-SWI-10835,2014-07-04
EQ-00080,ST-0011,industrial_pump,SN-IND-42303,2015-06-27
EQ-00081,ST-0011,compressor,SN-COM-51782,2006-12-21
EQ-00082,ST-0011,industrial_pump,SN-IND-75021,2017-03-15
EQ-00083,ST-0012,switchgear,SN-SWI-19783,2018-04-06
EQ-00084,ST-0012,conveyor_system,SN-CON-64384,2015-04-18
EQ-00085,ST-0012,chiller,SN-CHI-61997,2007-11-03
EQ-00086,ST-0012,compressor,SN-COM-76282,2010-11-01
EQ-00087,ST-0012,hvac_unit,SN-HVA-68442,2009-07-25
EQ-00088,ST-0012,conveyor_system,SN-CON-32008,2012-04-04
EQ-00089,ST-0012,hvac_unit,SN-HVA-85825,2013-08-18
EQ-00090,ST-0012,furnace,SN-FUR-67289,2013-03-20
EQ-00091,ST-0012,hvac_unit,SN-HVA-70407,2016-11-19
EQ-00092,ST-0013,industrial_pump,SN-IND-61695,2013-11-03
EQ-00093,ST-0013,chiller,SN-CHI-12053,2009-12-01
EQ-00094,ST-0013,compressor,SN-COM-42111,2017-12-26
EQ-00095,ST-0014,switchgear,SN-SWI-23487,2010-06-25
EQ-00096,ST-0014,boiler,SN-BOI-45488,2013-04-19
EQ-00097,ST-0014,control_panel,SN-CON-80979,2009-10-06
EQ-00098,ST-0014,hvac_unit,SN-HVA-74972,2014-09-26
EQ-00099,ST-0015,furnace,SN-FUR-93999,2018-08-28
EQ-00100,ST-0015,boiler,SN-BOI-65159,2005-04-26
EQ-00101,ST-0015,chiller,SN-CHI-66339,2012-05-20
EQ-00102,ST-0015,switchgear,SN-SWI-19002,2016-05-12
EQ-00103,ST-0015,hvac_unit,SN-HVA-81613,2013-02-03
EQ-00104,ST-0015,compressor,SN-COM-39093,2014-11-09
EQ-00105,ST-0016,industrial_pump,SN-IND-89750,2011-10-13
EQ-00106,ST-0016,industrial_pump,SN-IND-56410,2007-05-25
EQ-00107,ST-0016,industrial_pump,SN-IND-50935,2012-06-03
EQ-00108,ST-0016,compressor,SN-COM-90169,2010-01-09
EQ-00109,ST-0016,furnace,SN-FUR-80261,2008-05-19
EQ-00110,ST-0017,control_panel,SN-CON-63364,2008-04-13
EQ-00111,ST-0017,boiler,SN-BOI-56326,2007-07-09
EQ-00112,ST-0017,furnace,SN-FUR-97771,2005-01-15
EQ-00113,ST-0017,industrial_pump,SN-IND-75040,2011-02-15
EQ-00114,ST-0017,compressor,SN-COM-52999,2018-06-09
EQ-00115,ST-0018,storage_tank,SN-STO-30503,2011-06-06
EQ-00116,ST-0018,switchgear,SN-SWI-41934,2016-08-14
EQ-00117,ST-0018,control_panel,SN-CON-56511,2007-11-08
EQ-00118,ST-0018,hvac_unit,SN-HVA-43556,2011-07-03
EQ-00119,ST-0018,chiller,SN-CHI-47753,2018-12-25
EQ-00120,ST-0018,chiller,SN-CHI-32099,2010-02-11
EQ-00121,ST-0018,control_panel,SN-CON-87018,2011-11-25
EQ-00122,ST-0019,industrial_pump,SN-IND-14746,2014-05-28
EQ-00123,ST-0019,industrial_pump,SN-IND-85304,2008-12-07
EQ-00124,ST-0019,switchgear,SN-SWI-86578,2005-01-06
EQ-00125,ST-0019,control_panel,SN-CON-80546,2013-11-02
EQ-00126,ST-0019,switchgear,SN-SWI-49342,2005-05-11
EQ-00127,ST-0019,boiler,SN-BOI-28220,2015-07-13
EQ-00128,ST-0020,storage_tank,SN-STO-15756,2010-08-03
EQ-00129,ST-0020,boiler,SN-BOI-33128,2010-03-13
EQ-00130,ST-0020,switchgear,SN-SWI-20779,2018-12-01
EQ-00131,ST-0020,conveyor_system,SN-CON-98815,2014-08-24
EQ-00132,ST-0021,boiler,SN-BOI-91827,2010-06-07
EQ-00133,ST-0021,switchgear,SN-SWI-34129,2013-04-10
EQ-00134,ST-0021,furnace,SN-FUR-77729,2013-01-21
EQ-00135,ST-0022,switchgear,SN-SWI-76275,2014-03-07
EQ-00136,ST-0022,switchgear,SN-SWI-35403,2011-12-23
EQ-00137,ST-0022,furnace,SN-FUR-10875,2018-10-21
EQ-00138,ST-0022,boiler,SN-BOI-60013,2007-01-11
EQ-00139,ST-0022,chiller,SN-CHI-90660,2013-07-15
EQ-00140,ST-0022,hvac_unit,SN-HVA-80249,2006-05-22
EQ-00141,ST-0023,storage_tank,SN-STO-88044,2008-04-02
EQ-00142,ST-0023,compressor,SN-COM-12033,2016-08-06
EQ-00143,ST-0023,switchgear,SN-SWI-88067,2010-01-20
EQ-00144,ST-0023,switchgear,SN-SWI-21471,2008-04-18
EQ-00145,ST-0023,storage_tank,SN-STO-67759,2012-08-16
EQ-00146,ST-0023,storage_tank,SN-STO-22557,2013-09-22
EQ-00147,ST-0023,control_panel,SN-CON-78517,2018-09-03
EQ-00148,ST-0024,compressor,SN-COM-22652,2010-08-03
EQ-00149,ST-0024,storage_tank,SN-STO-29129,2017-02-08
EQ-00150,ST-0024,chiller,SN-CHI-10136,2011-09-28
EQ-00151,ST-0025,storage_tank,SN-STO-46990,2011-05-23
EQ-00152,ST-0025,switchgear,SN-SWI-22811,2015-06-07
EQ-00153,ST-0025,industrial_pump,SN-IND-29231,2016-03-21
EQ-00154,ST-0025,industrial_pump,SN-IND-51487,2013-11-03
EQ-00155,ST-0025,hvac_unit,SN-HVA-63290,2014-03-17
EQ-00156,ST-0025,hvac_unit,SN-HVA-28722,2017-06-26
EQ-00157,ST-0025,boiler,SN-BOI-20715,2010-07-19
EQ-00158,ST-0025,compressor,SN-COM-25131,2009-10-20
EQ-00159,ST-0025,storage_tank,SN-STO-77556,2012-12-20
EQ-00160,ST-0025,control_panel,SN-CON-73530,2014-06-01
EQ-00161,ST-0025,conveyor_system,SN-CON-25459,2009-11-01
EQ-00162,ST-0025,chiller,SN-CHI-13937,2009-05-07
EQ-00163,ST-0026,conveyor_system,SN-CON-32244,2012-01-27
EQ-00164,ST-0026,switchgear,SN-SWI-96979,2018-11-04
EQ-00165,ST-0026,control_panel,SN-CON-96616,2009-08-14
EQ-00166,ST-0026,chiller,SN-CHI-38771,2006-02-12
EQ-00167,ST-0026,compressor,SN-COM-62032,2015-04-25
EQ-00168,ST-0026,switchgear,SN-SWI-47538,2018-03-12
EQ-00169,ST-0026,chiller,SN-CHI-59338,2010-03-24
EQ-00170,ST-0026,boiler,SN-BOI-12649,2018-03-26
EQ-00171,ST-0026,compressor,SN-COM-54426,2012-03-23
EQ-00172,ST-0026,compressor,SN-COM-89544,2017-08-22
EQ-00173,ST-0027,storage_tank,SN-STO-39271,2015-04-04
EQ-00174,ST-0027,hvac_unit,SN-HVA-94933,2008-03-01
EQ-00175,ST-0027,storage_tank,SN-STO-71361,2006-02-13
EQ-00176,ST-0027,industrial_pump,SN-IND-36647,2013-05-05
EQ-00177,ST-0028,chiller,SN-CHI-82032,2018-08-23
EQ-00178,ST-0028,control_panel,SN-CON-13863,2011-11-14
EQ-00179,ST-0029,chiller,SN-CHI-28199,2018-01-05
EQ-00180,ST-0029,storage_tank,SN-STO-34492,2014-12-24
EQ-00181,ST-0029,industrial_pump,SN-IND-47071,2013-04-03
EQ-00182,ST-0029,furnace,SN-FUR-24992,2012-02-06
EQ-00183,ST-0029,switchgear,SN-SWI-68610,2017-02-18
EQ-00184,ST-0029,switchgear,SN-SWI-59515,2014-02-10
EQ-00185,ST-0029,boiler,SN-BOI-80241,2009-11-22
EQ-00186,ST-0029,industrial_pump,SN-IND-97700,2006-03-18
EQ-00187,ST-0029,furnace,SN-FUR-89410,2008-11-03
EQ-00188,ST-0030,boiler,SN-BOI-78278,2009-06-25
EQ-00189,ST-0030,storage_tank,SN-STO-76712,2017-05-17
EQ-00190,ST-0031,compressor,SN-COM-48274,2010-10-06
EQ-00191,ST-0031,control_panel,SN-CON-88295,2005-07-14
EQ-00192,ST-0031,switchgear,SN-SWI-42553,2018-04-06
EQ-00193,ST-0031,hvac_unit,SN-HVA-90842,2007-01-21
EQ-00194,ST-0031,boiler,SN-BOI-73632,2008-11-27
EQ-00195,ST-0031,conveyor_system,SN-CON-22096,2014-05-01
EQ-00196,ST-0031,hvac_unit,SN-HVA-87243,2017-12-12
EQ-00197,ST-0031,switchgear,SN-SWI-31031,2005-01-06
EQ-00198,ST-0031,hvac_unit,SN-HVA-90927,2010-09-20
EQ-00199,ST-0031,chiller,SN-CHI-87328,2008-02-19
EQ-00200,ST-0031,hvac_unit,SN-HVA-86949,2018-11-24
EQ-00201,ST-0032,hvac_unit,SN-HVA-89050,2016-02-18
EQ-00202,ST-0032,compressor,SN-COM-55633,2008-01-14
EQ-00203,ST-0032,boiler,SN-BOI-96890,2006-04-12
EQ-00204,ST-0033,control_panel,SN-CON-28111,2005-05-04
EQ-00205,ST-0033,boiler,SN-BOI-85947,2009-02-16
EQ-00206,ST-0033,conveyor_system,SN-CON-67841,2007-04-22
EQ-00207,ST-0033,storage_tank,SN-STO-62907,2009-05-28
EQ-00208,ST-0033,furnace,SN-FUR-26875,2011-08-23
EQ-00209,ST-0033,chiller,SN-CHI-80415,2018-08-22
EQ-00210,ST-0033,chiller,SN-CHI-60654,2018-10-09
EQ-00211,ST-0033,hvac_unit,SN-HVA-51283,2016-10-25
EQ-00212,ST-0033,boiler,SN-BOI-44032,2016-07-23
EQ-00213,ST-0034,conveyor_system,SN-CON-55141,2011-10-24
EQ-00214,ST-0034,compressor,SN-COM-83052,2010-01-03
EQ-00215,ST-0034,control_panel,SN-CON-25004,2016-11-12
EQ-00216,ST-0034,chiller,SN-CHI-13416,2011-02-12
EQ-00217,ST-0034,hvac_unit,SN-HVA-36350,2014-04-28
EQ-00218,ST-0034,furnace,SN-FUR-79763,2014-06-17
EQ-00219,ST-0034,control_panel,SN-CON-43111,2009-08-07
EQ-00220,ST-0034,industrial_pump,SN-IND-18693,2008-01-18
EQ-00221,ST-0034,furnace,SN-FUR-37646,2012-11-09
EQ-00222,ST-0034,conveyor_system,SN-CON-37399,2008-09-21
EQ-00223,ST-0034,boiler,SN-BOI-28096,2010-03-09
EQ-00224,ST-0035,hvac_unit,SN-HVA-71007,2007-09-10
EQ-00225,ST-0035,compressor,SN-COM-87438,2016-10-04
EQ-00226,ST-0035,switchgear,SN-SWI-87264,2017-02-10
EQ-00227,ST-0035,control_panel,SN-CON-92421,2017-01-26
EQ-00228,ST-0035,hvac_unit,SN-HVA-58576,2006-09-19
EQ-00229,ST-0036,switchgear,SN-SWI-95885,2016-08-13
EQ-00230,ST-0036,industrial_pump,SN-IND-16254,2018-10-10
EQ-00231,ST-0036,control_panel,SN-CON-39426,2011-05-20
EQ-00232,ST-0036,compressor,SN-COM-66114,2012-06-10
EQ-00233,ST-0036,conveyor_system,SN-CON-68048,2017-04-21
EQ-00234,ST-0037,control_panel,SN-CON-28230,2017-12-23
EQ-00235,ST-0037,conveyor_system,SN-CON-72214,2014-08-09
EQ-00236,ST-0037,control_panel,SN-CON-16373,2010-04-09
EQ-00237,ST-0037,chiller,SN-CHI-65858,2010-04-22
EQ-00238,ST-0037,industrial_pump,SN-IND-73228,2017-04-10
EQ-00239,ST-0037,storage_tank,SN-STO-82103,2009-08-14
EQ-00240,ST-0037,industrial_pump,SN-IND-94578,2014-06-07
EQ-00241,ST-0037,control_panel,SN-CON-79831,2007-04-17
EQ-00242,ST-0037,boiler,SN-BOI-80605,2016-01-09
EQ-00243,ST-0037,boiler,SN-BOI-25601,2013-06-06
EQ-00244,ST-0038,industrial_pump,SN-IND-95963,2012-06-12
EQ-00245,ST-0038,conveyor_system,SN-CON-96646,2017-01-05
EQ-00246,ST-0039,switchgear,SN-SWI-75787,2011-08-16
EQ-00247,ST-0039,boiler,SN-BOI-62090,2012-02-05
EQ-00248,ST-0039,storage_tank,SN-STO-74487,2013-11-25
EQ-00249,ST-0039,control_panel,SN-CON-27075,2007-06-12
EQ-00250,ST-0039,boiler,SN-BOI-24537,2018-03-14
EQ-00251,ST-0039,compressor,SN-COM-68756,2013-07-25
EQ-00252,ST-0039,industrial_pump,SN-IND-97337,2017-03-14
EQ-00253,ST-0039,industrial_pump,SN-IND-16923,2012-06-10
EQ-00254,ST-0039,storage_tank,SN-STO-32914,2012-02-07
EQ-00255,ST-0039,industrial_pump,SN-IND-42991,2016-10-11
EQ-00256,ST-0040,control_panel,SN-CON-16606,2005-01-02
EQ-00257,ST-0040,furnace,SN-FUR-79779,2009-04-09
EQ-00258,ST-0040,industrial_pump,SN-IND-97087,2013-08-20
EQ-00259,ST-0041,hvac_unit,SN-HVA-66280,2017-02-12
EQ-00260,ST-0041,boiler,SN-BOI-18540,2010-08-13
EQ-00261,ST-0041,furnace,SN-FUR-39797,2011-07-17
EQ-00262,ST-0041,industrial_pump,SN-IND-25882,2017-06-21
EQ-00263,ST-0041,hvac_unit,SN-HVA-55333,2008-01-28
EQ-00264,ST-0041,hvac_unit,SN-HVA-49027,2013-04-16
EQ-00265,ST-0041,chiller,SN-CHI-46012,2005-11-12
EQ-00266,ST-0041,control_panel,SN-CON-73367,2005-09-13
EQ-00267,ST-0042,furnace,SN-FUR-76438,2015-10-20
EQ-00268,ST-0042,conveyor_system,SN-CON-56130,2013-06-21
EQ-00269,ST-0042,chiller,SN-CHI-29923,2009-07-19
EQ-00270,ST-0042,boiler,SN-BOI-20939,2005-07-03
EQ-00271,ST-0042,switchgear,SN-SWI-76926,2008-06-19
EQ-00272,ST-0042,switchgear,SN-SWI-76743,2016-08-10
EQ-00273,ST-0042,control_panel,SN-CON-14522,2016-03-12
EQ-00274,ST-0042,compressor,SN-COM-95299,2006-08-17
EQ-00275,ST-0043,chiller,SN-CHI-58136,2005-11-28
EQ-00276,ST-0043,storage_tank,SN-STO-18596,2007-11-02
EQ-00277,ST-0043,conveyor_system,SN-CON-13701,2005-08-03
EQ-00278,ST-0043,furnace,SN-FUR-61669,2008-03-22
EQ-00279,ST-0044,compressor,SN-COM-58821,2017-04-05
EQ-00280,ST-0044,compressor,SN-COM-73646,2012-10-24
EQ-00281,ST-0044,boiler,SN-BOI-67975,2005-08-24
EQ-00282,ST-0045,chiller,SN-CHI-87318,2005-04-14
EQ-00283,ST-0045,industrial_pump,SN-IND-10331,2007-01-06
EQ-00284,ST-0045,hvac_unit,SN-HVA-76223,2007-07-28
EQ-00285,ST-0045,switchgear,SN-SWI-46964,2010-11-10
EQ-00286,ST-0045,compressor,SN-COM-63196,2015-07-05
EQ-00287,ST-0045,conveyor_system,SN-CON-30913,2011-11-10
EQ-00288,ST-0045,industrial_pump,SN-IND-23745,2014-04-17
EQ-00289,ST-0045,industrial_pump,SN-IND-68292,2012-05-23
EQ-00290,ST-0045,compressor,SN-COM-94623,2006-11-13
EQ-00291,ST-0045,conveyor_system,SN-CON-34065,2013-01-05
EQ-00292,ST-0045,compressor,SN-COM-47462,2017-06-14
EQ-00293,ST-0045,conveyor_system,SN-CON-52894,2017-12-05
EQ-00294,ST-0046,conveyor_system,SN-CON-67065,2014-01-05
EQ-00295,ST-0046,boiler,SN-BOI-63951,2012-12-03
EQ-00296,ST-0046,control_panel,SN-CON-98540,2007-06-28
EQ-00297,ST-0046,conveyor_system,SN-CON-16743,2013-07-11
EQ-00298,ST-0046,boiler,SN-BOI-14581,2016-07-03
EQ-00299,ST-0047,control_panel,SN-CON-98463,2013-08-24
EQ-00300,ST-0047,boiler,SN-BOI-90550,2018-03-01
EQ-00301,ST-0047,storage_tank,SN-STO-59920,2015-02-07
EQ-00302,ST-0047,hvac_unit,SN-HVA-62579,2010-10-20
EQ-00303,ST-0047,switchgear,SN-SWI-68604,2009-07-02
EQ-00304,ST-0047,hvac_unit,SN-HVA-83576,2015-06-16
EQ-00305,ST-0048,conveyor_system,SN-CON-41502,2015-07-24
EQ-00306,ST-0048,boiler,SN-BOI-46199,2007-05-21
EQ-00307,ST-0048,switchgear,SN-SWI-80472,2006-08-05
EQ-00308,ST-0048,storage_tank,SN-STO-83728,2008-05-13
EQ-00309,ST-0048,furnace,SN-FUR-67890,2016-05-19
EQ-00310,ST-0048,storage_tank,SN-STO-75342,2012-09-20
EQ-00311,ST-0048,industrial_pump,SN-IND-16122,2013-08-01
EQ-00312,ST-0048,hvac_unit,SN-HVA-26706,2006-06-11
EQ-00313,ST-0048,chiller,SN-CHI-75862,2011-10-19
EQ-00314,ST-0048,control_panel,SN-CON-53638,2018-08-02
EQ-00315,ST-0048,hvac_unit,SN-HVA-34346,2014-02-24
EQ-00316,ST-0048,industrial_pump,SN-IND-88688,2010-07-20
EQ-00317,ST-0049,control_panel,SN-CON-14566,2012-10-10
EQ-00318,ST-0049,boiler,SN-BOI-70152,2008-11-18
EQ-00319,ST-0049,conveyor_system,SN-CON-11705,2010-09-11
EQ-00320,ST-0049,storage_tank,SN-STO-84958,2014-06-22
EQ-00321,ST-0049,furnace,SN-FUR-59019,2006-06-01
EQ-00322,ST-0049,control_panel,SN-CON-11539,2015-11-17
EQ-00323,ST-0050,compressor,SN-COM-84550,2006-06-05
EQ-00324,ST-0050,furnace,SN-FUR-96656,2014-07-04
EQ-00325,ST-0050,control_panel,SN-CON-33789,2007-03-22
EQ-00326,ST-0050,compressor,SN-COM-28886,2016-05-21
EQ-00327,ST-0050,compressor,SN-COM-72158,2010-01-15
EQ-00328,ST-0051,chiller,SN-CHI-79313,2017-12-05
EQ-00329,ST-0051,switchgear,SN-SWI-70223,2013-12-14
EQ-00330,ST-0051,chiller,SN-CHI-96159,2014-04-21
EQ-00331,ST-0051,switchgear,SN-SWI-99604,2005-05-09
EQ-00332,ST-0051,control_panel,SN-CON-63942,2016-01-18
EQ-00333,ST-0051,furnace,SN-FUR-55707,2005-06-26
EQ-00334,ST-0052,hvac_unit,SN-HVA-87632,2007-11-25
EQ-00335,ST-0052,industrial_pump,SN-IND-88965,2013-01-04
EQ-00336,ST-0052,furnace,SN-FUR-34767,2006-02-27
EQ-00337,ST-0052,control_panel,SN-CON-30585,2015-05-26
EQ-00338,ST-0052,conveyor_system,SN-CON-71519,2006-12-28
EQ-00339,ST-0052,furnace,SN-FUR-26625,2005-04-06
EQ-00340,ST-0052,conveyor_system,SN-CON-21090,2015-10-06
EQ-00341,ST-0052,chiller,SN-CHI-93004,2013-04-16
EQ-00342,ST-0052,conveyor_system,SN-CON-58512,2005-11-07
EQ-00343,ST-0052,boiler,SN-BOI-11474,2006-11-04
EQ-00344,ST-0053,boiler,SN-BOI-66327,2012-11-03
EQ-00345,ST-0053,industrial_pump,SN-IND-31230,2011-11-21
EQ-00346,ST-0053,control_panel,SN-CON-72350,2010-01-16
EQ-00347,ST-0053,industrial_pump,SN-IND-57438,2010-03-17
EQ-00348,ST-0053,storage_tank,SN-STO-88977,2011-04-11
EQ-00349,ST-0053,hvac_unit,SN-HVA-29094,2008-01-28
EQ-00350,ST-0053,conveyor_system,SN-CON-82821,2017-12-04
EQ-00351,ST-0053,switchgear,SN-SWI-34644,2016-12-06
EQ-00352,ST-0053,boiler,SN-BOI-60216,2005-08-21
EQ-00353,ST-0053,switchgear,SN-SWI-45876,2010-11-25
EQ-00354,ST-0053,hvac_unit,SN-HVA-73505,2011-06-10
EQ-00355,ST-0053,hvac_unit,SN-HVA-65834,2014-07-25
EQ-00356,ST-0054,switchgear,SN-SWI-31410,2014-04-13
EQ-00357,ST-0054,boiler,SN-BOI-40088,2015-10-08
EQ-00358,ST-0054,compressor,SN-COM-47829,2009-04-05
EQ-00359,ST-0054,furnace,SN-FUR-37776,2014-09-27
EQ-00360,ST-0054,chiller,SN-CHI-14103,2018-10-10
EQ-00361,ST-0054,storage_tank,SN-STO-49934,2010-09-26
EQ-00362,ST-0054,hvac_unit,SN-HVA-54060,2013-08-18
EQ-00363,ST-0054,conveyor_system,SN-CON-66237,2014-06-19
EQ-00364,ST-0054,industrial_pump,SN-IND-17679,2010-07-07
EQ-00365,ST-0054,storage_tank,SN-STO-61980,2011-01-12
EQ-00366,ST-0054,boiler,SN-BOI-14243,2009-10-09
EQ-00367,ST-0054,control_panel,SN-CON-95385,2013-10-12
EQ-00368,ST-0055,switchgear,SN-SWI-46359,2017-05-01
EQ-00369,ST-0055,industrial_pump,SN-IND-51916,2010-08-06
EQ-00370,ST-0055,conveyor_system,SN-CON-85483,2008-05-05
EQ-00371,ST-0055,chiller,SN-CHI-42642,2006-12-26
EQ-00372,ST-0055,industrial_pump,SN-IND-46848,2009-08-02
EQ-00373,ST-0055,compressor,SN-COM-83439,2015-07-09
EQ-00374,ST-0055,compressor,SN-COM-55272,2018-08-18
EQ-00375,ST-0055,industrial_pump,SN-IND-73878,2007-08-07
EQ-00376,ST-0055,conveyor_system,SN-CON-75911,2018-03-06
EQ-00377,ST-0056,industrial_pump,SN-IND-39295,2010-09-12
EQ-00378,ST-0056,control_panel,SN-CON-79040,2009-09-16
EQ-00379,ST-0056,chiller,SN-CHI-77966,2010-10-18
EQ-00380,ST-0056,furnace,SN-FUR-32945,2018-09-18
EQ-00381,ST-0057,compressor,SN-COM-90622,2010-03-20
EQ-00382,ST-0057,industrial_pump,SN-IND-76188,2018-08-03
EQ-00383,ST-0057,furnace,SN-FUR-44142,2012-05-15
EQ-00384,ST-0057,furnace,SN-FUR-62667,2016-09-04
EQ-00385,ST-0057,hvac_unit,SN-HVA-35361,2008-08-26
EQ-00386,ST-0057,conveyor_system,SN-CON-11477,2016-06-16
EQ-00387,ST-0057,conveyor_system,SN-CON-38570,2013-02-14
EQ-00388,ST-0057,switchgear,SN-SWI-33026,2008-03-07
EQ-00389,ST-0057,industrial_pump,SN-IND-33871,2012-03-13
EQ-00390,ST-0058,switchgear,SN-SWI-19170,2015-07-03
EQ-00391,ST-0058,hvac_unit,SN-HVA-96670,2008-04-17
EQ-00392,ST-0058,storage_tank,SN-STO-10255,2009-10-18
EQ-00393,ST-0058,storage_tank,SN-STO-33314,2013-05-27
EQ-00394,ST-0059,hvac_unit,SN-HVA-61214,2012-06-28
EQ-00395,ST-0059,industrial_pump,SN-IND-18859,2011-10-26
EQ-00396,ST-0059,hvac_unit,SN-HVA-32227,2009-11-18
EQ-00397,ST-0059,industrial_pump,SN-IND-70471,2009-03-19
EQ-00398,ST-0059,switchgear,SN-SWI-61001,2015-09-11
EQ-00399,ST-0059,switchgear,SN-SWI-54376,2012-03-18
