work_order_id,line_number,line_kind,part_id,quantity,billed_hours,line_amount
WO-000016,4,LABOR,,,2.49,174.3
WO-000017,1,PART,PT-0001,3,,174.66
WO-000017,2,PART,PT-0167,2,,935.89
WO-000017,3,LABOR,,,7.28,440.44
WO-000018,1,PART,PT-0025,1,,27.8
WO-000018,2,LABOR,,,8.35,642.95
WO-000019,1,PART,PT-0190,2,,49.2
WO-000019,2,PART,PT-0183,2,,292.62
WO-000019,3,PART,PT-0134,2,,78.7
WO-000019,4,LABOR,,,9.97,897.3
WO-000020,1,PART,PT-0127,3,,1240.1
WO-000020,2,PART,PT-0013,4,,483.74
WO-000020,3,PART,PT-0120,2,,38.68
WO-000020,4,LABOR,,,1.24,95.48
WO-000020,5,LABOR,,,1.6,123.2
WO-000021,1,LABOR,,,3.35,184.25
WO-000021,2,LABOR,,,3.28,180.4
WO-000022,1,PART,PT-0165,2,,70.84
WO-000022,2,PART,PT-0071,1,,53.6
WO-000022,3,PART,PT-0107,4,,1961.03
WO-000022,4,LABOR,,,7.48,411.4
WO-000022,5,LABOR,,,7.12,391.6
WO-000023,1,PART,PT-0026,1,,153.93
WO-000023,2,LABOR,,,2.1,189.0
WO-000024,1,LABOR,,,5.11,309.16
WO-000025,1,PART,PT-0131,1,,57.43
WO-000025,2,LABOR,,,1.34,103.18
WO-000026,1,PART,PT-0163,2,,213.19
WO-000026,2,PART,PT-0069,2,,81.18
WO-000026,3,PART,PT-0135,1,,21.66
WO-000026,4,LABOR,,,3.46,237.88
WO-000027,1,PART,PT-0020,2,,52.79
WO-000027,2,PART,PT-0005,1,,26.55
WO-000027,3,LABOR,,,4.82,421.75
WO-000027,4,LABOR,,,4.95,433.12
WO-000028,1,PART,PT-0182,4,,365.97
WO-000028,2,LABOR,,,4.87,374.99
WO-000028,3,LABOR,,,7.08,545.16
WO-000029,1,PART,PT-0196,1,,150.27
WO-000029,2,PART,PT-0054,2,,68.11
WO-000029,3,PART,PT-0051,3,,117.66
WO-000029,4,LABOR,,,5.91,455.07
WO-000029,5,LABOR,,,4.24,326.48
WO-000030,1,PART,PT-0090,3,,72.28
WO-000030,2,LABOR,,,7.02,386.1
WO-000031,1,PART,PT-0078,1,,21.94
WO-000031,2,PART,PT-0131,1,,59.29
WO-000031,3,PART,PT-0050,6,,155.87
WO-000031,4,LABOR,,,3.44,208.12
WO-000032,1,PART,PT-0032,1,,98.27
WO-000032,2,PART,PT-0052,1,,73.58
WO-000032,3,PART,PT-0182,1,,85.47
WO-000032,4,LABOR,,,4.28,294.25
WO-000032,5,LABOR,,,3.06,210.38
WO-000033,1,PART,PT-0151,4,,197.39
WO-000033,2,PART,PT-0200,5,,136.23
WO-000033,3,PART,PT-0132,4,,294.53
WO-000033,4,PART,PT-0151,3,,139.32
WO-000033,5,LABOR,,,12.7,1143.0
WO-000034,1,PART,PT-0130,1,,22.21
WO-000034,2,PART,PT-0030,1,,25.21
WO-000035,1,PART,PT-0161,1,,51.67
WO-000035,2,PART,PT-0019,2,,77.12
WO-000036,1,PART,PT-0160,1,,23.36
WO-000036,2,PART,PT-0064,1,,29.76
WO-000036,3,LABOR,,,4.97,382.69
WO-000036,4,LABOR,,,5.45,419.65
WO-000037,1,PART,PT-0045,3,,85.76
WO-000037,2,LABOR,,,3.93,216.15
WO-000038,1,PART,PT-0049,1,,38.68
WO-000038,2,LABOR,,,1.89,114.35
WO-000038,3,LABOR,,,2.64,159.72
WO-000039,1,PART,PT-0106,5,,758.46
WO-000039,2,LABOR,,,8.96,887.04
WO-000039,3,LABOR,,,7.29,721.71
WO-000040,1,PART,PT-0191,6,,273.76
WO-000040,2,LABOR,,,5.77,403.9
WO-000041,1,PART,PT-0112,1,,93.95
WO-000041,2,LABOR,,,4.65,358.05
WO-000041,3,LABOR,,,3.25,250.25
WO-000042,1,PART,PT-0045,2,,52.71
WO-000042,2,LABOR,,,3.24,291.6
WO-000042,3,LABOR,,,2.34,210.6
WO-000043,1,PART,PT-0084,1,,41.81
WO-000043,2,PART,PT-0035,6,,196.14
WO-000043,3,LABOR,,,11.81,1328.62
WO-000043,4,LABOR,,,9.91,1114.88
WO-000044,1,PART,PT-0125,2,,41.78
WO-000044,2,PART,PT-0175,3,,94.43
WO-000044,3,PART,PT-0192,1,,76.43
WO-000044,4,PART,PT-0139,2,,72.08
WO-000044,5,PART,PT-0133,1,,156.89
WO-000044,6,LABOR,,,10.6,954.0
WO-000044,7,LABOR,,,10.93,983.7
WO-000045,1,PART,PT-0059,3,,113.73
WO-000045,2,PART,PT-0077,1,,411.77
WO-000045,3,PART,PT-0181,3,,163.53
WO-000045,4,PART,PT-0092,1,,69.73
WO-000045,5,PART,PT-0065,2,,60.57
WO-000045,6,LABOR,,,11.9,833.0
WO-000046,1,PART,PT-0081,3,,155.03
WO-000046,2,PART,PT-0179,3,,145.52
WO-000046,3,LABOR,,,4.17,364.88
WO-000047,1,PART,PT-0038,1,,14.88
WO-000047,2,PART,PT-0176,1,,121.09
WO-000047,3,PART,PT-0013,1,,120.75
WO-000047,4,PART,PT-0173,5,,759.51
WO-000047,5,LABOR,,,1.82,110.11
WO-000047,6,LABOR,,,1.33,80.47
WO-000048,1,PART,PT-0086,1,,132.45
WO-000048,2,PART,PT-0052,6,,485.39
WO-000048,3,PART,PT-0091,1,,55.91
WO-000048,4,PART,PT-0075,2,,66.93
WO-000048,5,PART,PT-0021,1,,55.72
WO-000048,6,LABOR,,,9.58,526.9
WO-000049,1,PART,PT-0037,1,,496.36
WO-000049,2,LABOR,,,1.12,77.0
WO-000049,3,LABOR,,,0.94,64.62
WO-000050,1,PART,PT-0033,1,,136.96
WO-000050,2,PART,PT-0100,2,,45.71
WO-000050,3,PART,PT-0160,4,,88.06
WO-000050,4,LABOR,,,11.05,850.85
WO-000051,1,PART,PT-0052,1,,75.82
WO-000051,2,PART,PT-0098,1,,19.08
WO-000051,3,PART,PT-0035,3,,88.25
WO-000051,4,LABOR,,,2.17,195.3
WO-000052,1,PART,PT-0039,1,,49.17
WO-000052,2,PART,PT-0164,1,,36.5
WO-000052,3,LABOR,,,3.11,217.7
WO-000053,1,PART,PT-0038,2,,33.45
WO-000053,2,PART,PT-0133,1,,157.74
WO-000053,3,PART,PT-0144,1,,35.52
WO-000053,4,LABOR,,,8.19,810.81
WO-000053,5,LABOR,,,7.3,722.7
WO-000054,1,PART,PT-0182,2,,189.95
WO-000054,2,PART,PT-0147,1,,489.68
WO-000054,3,PART,PT-0117,2,,903.28
WO-000054,4,PART,PT-0010,1,,22.16
WO-000054,5,PART,PT-0195,4,,89.06
WO-000054,6,LABOR,,,8.87,487.85
WO-000054,7,LABOR,,,10.91,600.05
WO-000055,1,PART,PT-0037,1,,463.76
WO-000055,2,LABOR,,,2.81,154.55
WO-000056,1,PART,PT-0195,1,,21.43
WO-000056,2,PART,PT-0117,5,,2291.52
WO-000056,3,LABOR,,,4.75,470.25
WO-000056,4,LABOR,,,5.82,576.18
WO-000057,1,LABOR,,,4.33,297.69
WO-000058,1,PART,PT-0114,1,,31.01
WO-000058,2,PART,PT-0044,4,,142.03
WO-000058,3,PART,PT-0072,6,,400.37
WO-000058,4,PART,PT-0025,3,,87.11
WO-000058,5,PART,PT-0023,1,,143.24
WO-000058,6,LABOR,,,4.94,489.06
WO-000059,1,PART,PT-0078,1,,21.52
WO-000059,2,LABOR,,,14.61,803.55
WO-000060,1,PART,PT-0131,2,,126.42
WO-000060,2,LABOR,,,1.87,185.13
WO-000061,1,PART,PT-0093,1,,117.24
WO-000061,2,PART,PT-0131,3,,174.34
WO-000061,3,LABOR,,,5.43,418.11
WO-000062,1,LABOR,,,2.0,140.0
WO-000063,1,PART,PT-0057,2,,780.47
WO-000063,2,LABOR,,,3.98,278.6
WO-000064,1,PART,PT-0025,1,,29.02
WO-000064,2,PART,PT-0035,1,,29.47
WO-000064,3,LABOR,,,6.7,460.62
WO-000064,4,LABOR,,,8.39,576.81
WO-000066,1,PART,PT-0167,1,,477.37
WO-000066,2,PART,PT-0093,1,,119.57
WO-000066,3,PART,PT-0069,5,,197.51
WO-000066,4,PART,PT-0176,1,,126.38
WO-000066,5,PART,PT-0046,3,,433.61
WO-000066,6,LABOR,,,3.71,333.9
WO-000066,7,LABOR,,,3.94,354.6
WO-000067,1,PART,PT-0075,2,,65.45
WO-000067,2,PART,PT-0093,1,,117.06
WO-000067,3,PART,PT-0024,1,,40.91
WO-000067,4,LABOR,,,10.27,564.85
WO-000068,1,PART,PT-0071,1,,50.16
WO-000068,2,LABOR,,,2.48,173.6
WO-000068,3,LABOR,,,2.74,191.8
WO-000069,1,PART,PT-0021,1,,49.25
WO-000069,2,PART,PT-0194,1,,34.8
WO-000069,3,PART,PT-0064,4,,123.98
WO-000069,4,PART,PT-0190,2,,54.95
WO-000069,5,PART,PT-0042,2,,220.52
WO-000069,6,LABOR,,,12.48,873.6
WO-000070,1,PART,PT-0177,1,,517.45
WO-000070,2,PART,PT-0043,2,,326.14
WO-000070,3,PART,PT-0199,6,,248.39
WO-000070,4,PART,PT-0194,1,,34.62
WO-000070,5,PART,PT-0161,1,,54.16
WO-000070,6,LABOR,,,8.52,843.48
WO-000070,7,LABOR,,,6.98,691.02
WO-000072,1,PART,PT-0091,1,,55.42
WO-000072,2,LABOR,,,3.61,357.39
WO-000073,1,LABOR,,,2.19,216.81
WO-000074,1,PART,PT-0168,2,,42.65
WO-000074,2,PART,PT-0182,3,,255.04
WO-000074,3,PART,PT-0167,1,,507.25
WO-000074,4,LABOR,,,3.37,203.89
WO-000075,1,PART,PT-0018,3,,61.24
WO-000075,2,LABOR,,,1.37,82.89
WO-000077,1,PART,PT-0154,2,,61.39
WO-000077,2,PART,PT-0160,4,,89.15
WO-000077,3,PART,PT-0134,1,,41.64
WO-000077,4,LABOR,,,10.04,878.5
WO-000078,1,PART,PT-0130,3,,63.61
WO-000078,2,PART,PT-0059,1,,38.78
WO-000078,3,PART,PT-0138,1,,17.86
WO-000078,4,LABOR,,,2.34,204.75
WO-000078,5,LABOR,,,3.43,300.12
WO-000079,1,PART,PT-0033,1,,133.93
WO-000079,2,PART,PT-0073,2,,227.17
WO-000079,3,PART,PT-0103,2,,235.94
WO-000079,4,PART,PT-0168,1,,21.12
WO-000079,5,LABOR,,,5.95,589.05
WO-000079,6,LABOR,,,4.76,471.24
WO-000080,1,PART,PT-0124,2,,58.48
WO-000080,2,LABOR,,,1.92,134.4
WO-000081,1,PART,PT-0185,1,,28.25
WO-000081,2,PART,PT-0129,1,,39.79
WO-000081,3,PART,PT-0108,3,,55.12
WO-000081,4,LABOR,,,4.53,407.7
WO-000082,1,PART,PT-0146,1,,129.02
WO-000082,2,PART,PT-0117,1,,407.12
WO-000082,3,LABOR,,,3.51,347.49
WO-000082,4,LABOR,,,2.89,286.11
WO-000083,1,PART,PT-0105,1,,25.34
WO-000083,2,PART,PT-0010,1,,24.84
WO-000083,3,PART,PT-0196,1,,138.78
WO-000083,4,PART,PT-0042,3,,298.35
WO-000083,5,PART,PT-0028,1,,15.28
WO-000083,6,LABOR,,,3.08,211.75
WO-000084,1,PART,PT-0171,4,,164.03
WO-000084,2,PART,PT-0118,4,,66.75
WO-000084,3,LABOR,,,4.44,399.6
WO-000085,1,PART,PT-0093,3,,348.96
WO-000085,2,PART,PT-0153,1,,118.1
WO-000085,3,LABOR,,,1.99,120.4
WO-000086,1,PART,PT-0041,1,,38.62
WO-000086,2,PART,PT-0087,4,,1764.12
WO-000086,3,PART,PT-0133,6,,889.85
WO-000086,4,LABOR,,,5.92,586.08
WO-000087,1,PART,PT-0159,3,,130.39
WO-000087,2,PART,PT-0079,2,,80.27
WO-000087,3,PART,PT-0056,1,,177.97
WO-000087,4,LABOR,,,11.85,829.5
WO-000087,5,LABOR,,,9.37,655.9
WO-000088,1,PART,PT-0115,2,,44.82
WO-000088,2,LABOR,,,3.59,217.2
WO-000089,1,PART,PT-0157,1,,389.98
WO-000089,2,PART,PT-0168,1,,22.48
WO-000089,3,PART,PT-0018,1,,21.03
WO-000089,4,LABOR,,,2.02,138.88
WO-000089,5,LABOR,,,2.23,153.31
WO-000090,1,PART,PT-0061,4,,164.97
WO-000090,2,LABOR,,,4.0,308.0
WO-000091,1,LABOR,,,1.57,86.35
WO-000091,2,LABOR,,,1.49,81.95
WO-000092,1,PART,PT-0188,6,,100.47
WO-000092,2,PART,PT-0019,1,,42.16
WO-000092,3,PART,PT-0026,2,,341.04
WO-000092,4,LABOR,,,6.09,334.95
WO-000093,1,PART,PT-0200,2,,54.78
WO-000093,2,PART,PT-0080,1,,23.25
WO-000093,3,LABOR,,,5.35,323.68
WO-000094,1,PART,PT-0054,2,,68.92
WO-000094,2,PART,PT-0130,2,,43.26
WO-000094,3,PART,PT-0195,1,,20.89
WO-000094,4,PART,PT-0044,2,,62.23
WO-000094,5,LABOR,,,12.03,661.65
WO-000095,1,PART,PT-0133,2,,328.33
WO-000095,2,PART,PT-0186,1,,125.51
WO-000095,3,PART,PT-0180,6,,184.0
WO-000095,4,PART,PT-0018,2,,43.07
WO-000095,5,PART,PT-0099,1,,45.62
WO-000095,6,LABOR,,,6.68,514.36
WO-000095,7,LABOR,,,5.83,448.91
WO-000096,1,PART,PT-0158,1,,17.71
WO-000096,2,PART,PT-0096,1,,187.97
WO-000096,3,PART,PT-0064,4,,117.32
WO-000096,4,LABOR,,,4.58,400.75
WO-000096,5,LABOR,,,4.29,375.38
WO-000097,1,PART,PT-0053,1,,109.86
WO-000097,2,PART,PT-0007,5,,1798.57
WO-000097,3,LABOR,,,3.58,196.9
WO-000098,1,PART,PT-0023,2,,259.54
WO-000098,2,PART,PT-0031,2,,120.53
WO-000098,3,LABOR,,,7.05,616.88
WO-000098,4,LABOR,,,7.86,687.75
WO-000099,1,PART,PT-0097,1,,458.27
WO-000099,2,PART,PT-0142,1,,88.98
WO-000099,3,PART,PT-0078,1,,22.15
WO-000099,4,LABOR,,,7.61,753.39
WO-000099,5,LABOR,,,6.92,685.08
WO-000101,1,PART,PT-0029,1,,43.52
WO-000101,2,PART,PT-0037,1,,513.54
WO-000101,3,LABOR,,,5.11,281.05
WO-000101,4,LABOR,,,6.96,382.8
WO-000102,1,PART,PT-0177,1,,501.84
WO-000102,2,LABOR,,,3.33,228.94
WO-000103,1,PART,PT-0050,1,,25.89
WO-000103,2,LABOR,,,7.19,494.31
WO-000104,1,PART,PT-0044,1,,32.64
WO-000104,2,PART,PT-0022,2,,179.64
WO-000104,3,PART,PT-0170,1,,23.26
WO-000104,4,PART,PT-0085,1,,32.93
WO-000104,5,PART,PT-0110,2,,44.94
WO-000104,6,LABOR,,,3.92,237.16
WO-000104,7,LABOR,,,4.57,276.49
WO-000105,1,PART,PT-0111,2,,114.77
WO-000105,2,PART,PT-0135,1,,21.32
WO-000105,3,LABOR,,,6.78,466.12
WO-000105,4,LABOR,,,8.88,610.5
WO-000106,1,PART,PT-0191,1,,42.93
WO-000106,2,LABOR,,,4.86,340.2
WO-000107,1,PART,PT-0171,1,,42.52
WO-000107,2,PART,PT-0127,3,,1298.33
WO-000107,3,PART,PT-0136,5,,763.7
WO-000107,4,PART,PT-0027,3,,1338.17
WO-000107,5,PART,PT-0126,2,,252.88
WO-000107,6,LABOR,,,9.01,693.77
WO-000108,1,PART,PT-0139,2,,72.61
WO-000108,2,LABOR,,,5.86,322.3
WO-000108,3,LABOR,,,8.69,477.95
WO-000109,1,LABOR,,,0.9,63.0
WO-000110,1,LABOR,,,0.97,58.69
WO-000111,1,PART,PT-0078,2,,40.98
WO-000111,2,PART,PT-0167,1,,507.04
WO-000111,3,PART,PT-0057,1,,428.44
WO-000111,4,PART,PT-0162,6,,508.86
WO-000111,5,LABOR,,,4.31,426.69
WO-000112,1,PART,PT-0189,1,,44.33
WO-000112,2,PART,PT-0054,5,,160.41
WO-000112,3,LABOR,,,4.49,444.51
WO-000113,1,PART,PT-0097,2,,979.54
WO-000113,2,PART,PT-0103,3,,326.94
WO-000113,3,PART,PT-0157,1,,392.14
WO-000113,4,LABOR,,,8.5,654.5
WO-000113,5,LABOR,,,6.52,502.04
WO-000114,1,PART,PT-0097,2,,977.93
WO-000114,2,PART,PT-0068,2,,42.38
WO-000114,3,PART,PT-0151,1,,48.76
WO-000114,4,LABOR,,,4.27,384.3
WO-000115,1,PART,PT-0128,2,,38.28
WO-000115,2,PART,PT-0079,3,,122.05
WO-000115,3,LABOR,,,2.0,121.0
WO-000115,4,LABOR,,,2.63,159.12
WO-000116,1,PART,PT-0144,1,,36.27
WO-000116,2,LABOR,,,5.31,464.62
WO-000116,3,LABOR,,,4.24,371.0
WO-000117,1,PART,PT-0061,2,,80.62
WO-000117,2,PART,PT-0055,1,,24.78
WO-000117,3,PART,PT-0142,1,,88.86
WO-000117,4,LABOR,,,6.08,425.6
WO-000117,5,LABOR,,,5.03,352.1
WO-000118,1,PART,PT-0066,2,,310.06
WO-000118,2,LABOR,,,1.53,84.15
WO-000118,3,LABOR,,,1.81,99.55
WO-000119,1,PART,PT-0184,1,,34.06
WO-000119,2,PART,PT-0069,1,,41.95
WO-000119,3,LABOR,,,3.55,244.06
WO-000120,1,PART,PT-0197,1,,368.16
WO-000120,2,PART,PT-0198,6,,125.28
WO-000120,3,PART,PT-0030,2,,56.16
WO-000120,4,LABOR,,,5.14,508.86
WO-000121,1,PART,PT-0142,1,,83.07
WO-000121,2,PART,PT-0112,1,,97.95
WO-000121,3,PART,PT-0128,1,,19.97
WO-000121,4,PART,PT-0119,1,,32.45
WO-000121,5,LABOR,,,3.78,259.88
WO-000121,6,LABOR,,,3.04,209.0
WO-000122,1,LABOR,,,4.16,251.68
WO-000123,1,PART,PT-0116,1,,164.05
WO-000123,2,LABOR,,,4.62,355.74
WO-000123,3,LABOR,,,5.17,398.09
WO-000124,1,PART,PT-0127,1,,404.5
WO-000124,2,PART,PT-0102,4,,409.22
WO-000124,3,PART,PT-0031,1,,58.66
WO-000124,4,LABOR,,,7.43,408.65
WO-000125,1,PART,PT-0156,1,,199.39
WO-000125,2,PART,PT-0040,2,,38.76
WO-000125,3,PART,PT-0010,4,,96.66
WO-000125,4,PART,PT-0033,1,,123.53
WO-000125,5,LABOR,,,6.93,485.1
WO-000125,6,LABOR,,,7.68,537.6
WO-000126,1,PART,PT-0080,3,,67.45
WO-000126,2,PART,PT-0154,1,,29.51
WO-000126,3,PART,PT-0083,2,,233.75
WO-000126,4,LABOR,,,15.05,1158.85
WO-000126,5,LABOR,,,11.21,863.17
WO-000127,1,PART,PT-0186,5,,646.91
WO-000127,2,LABOR,,,4.65,281.33
WO-000127,3,LABOR,,,5.65,341.83
WO-000128,1,PART,PT-0114,1,,31.01
WO-000128,2,LABOR,,,37.66,3728.34
WO-000129,1,PART,PT-0072,6,,418.37
WO-000129,2,PART,PT-0036,3,,452.55
WO-000129,3,PART,PT-0101,2,,84.19
WO-000129,4,LABOR,,,11.08,853.16
WO-000129,5,LABOR,,,10.76,828.52
WO-000130,1,PART,PT-0159,1,,42.38
WO-000130,2,PART,PT-0100,2,,48.58
WO-000130,3,PART,PT-0078,1,,20.22
WO-000130,4,PART,PT-0168,6,,138.88
WO-000130,5,LABOR,,,8.27,454.85
WO-000131,1,PART,PT-0081,1,,52.83
WO-000131,2,PART,PT-0163,1,,105.35
WO-000131,3,PART,PT-0039,2,,103.41
WO-000131,4,LABOR,,,5.19,363.3
WO-000132,1,PART,PT-0059,1,,35.7
WO-000132,2,LABOR,,,9.26,509.3
WO-000132,3,LABOR,,,6.44,354.2
WO-000133,1,PART,PT-0125,3,,63.17
WO-000133,2,LABOR,,,6.11,427.7
WO-000134,1,PART,PT-0197,4,,1553.22
WO-000134,2,LABOR,,,1.36,134.64
WO-000134,3,LABOR,,,1.58,156.42
WO-000135,1,PART,PT-0141,3,,165.01
WO-000135,2,PART,PT-0198,2,,43.37
WO-000135,3,PART,PT-0137,3,,1556.2
WO-000135,4,PART,PT-0067,2,,873.01
WO-000135,5,LABOR,,,4.0,360.0
WO-000136,1,PART,PT-0160,1,,21.12
WO-000136,2,PART,PT-0130,3,,64.95
WO-000136,3,PART,PT-0180,3,,87.23
WO-000136,4,PART,PT-0193,1,,107.87
WO-000136,5,PART,PT-0150,3,,73.57
WO-000136,6,LABOR,,,7.08,428.34
WO-000137,1,PART,PT-0026,1,,158.93
WO-000137,2,PART,PT-0029,1,,45.92
WO-000137,3,LABOR,,,1.92,134.4
WO-000137,4,LABOR,,,1.93,135.1
WO-000138,1,PART,PT-0074,2,,62.66
WO-000138,2,LABOR,,,3.13,309.87
WO-000138,3,LABOR,,,2.4,237.6
WO-000139,1,PART,PT-0141,5,,259.97
WO-000139,2,PART,PT-0171,4,,170.54
WO-000139,3,LABOR,,,2.45,148.23
WO-000139,4,LABOR,,,2.67,161.54
WO-000140,1,PART,PT-0126,1,,137.08
WO-000140,2,PART,PT-0009,1,,46.26
WO-000140,3,LABOR,,,6.11,549.9
WO-000141,1,LABOR,,,0.93,81.38
WO-000142,1,PART,PT-0090,1,,22.71
WO-000142,2,LABOR,,,6.54,457.8
WO-000142,3,LABOR,,,6.72,470.4
WO-000143,1,PART,PT-0122,1,,93.21
WO-000143,2,LABOR,,,4.42,340.34
WO-000143,3,LABOR,,,4.29,330.33
WO-000144,1,PART,PT-0119,2,,73.9
WO-000144,2,LABOR,,,2.73,307.12
WO-000145,1,PART,PT-0176,1,,135.47
WO-000145,2,PART,PT-0166,1,,144.05
WO-000145,3,PART,PT-0150,1,,23.33
WO-000145,4,LABOR,,,5.57,487.38
WO-000145,5,LABOR,,,4.78,418.25
WO-000146,1,PART,PT-0144,1,,35.17
WO-000146,2,LABOR,,,15.11,1322.12
WO-000146,3,LABOR,,,13.35,1168.12
WO-000147,1,PART,PT-0136,1,,153.14
WO-000147,2,LABOR,,,13.82,967.4
WO-000148,1,PART,PT-0183,1,,135.08
WO-000148,2,PART,PT-0152,1,,98.18
WO-000148,3,PART,PT-0049,1,,39.93
WO-000148,4,LABOR,,,12.14,1365.75
WO-000149,1,PART,PT-0041,3,,120.38
WO-000149,2,LABOR,,,3.64,250.25
WO-000150,1,PART,PT-0114,4,,109.3
WO-000150,2,LABOR,,,2.89,202.3
WO-000150,3,LABOR,,,2.27,158.9
WO-000151,1,PART,PT-0083,1,,117.37
WO-000151,2,PART,PT-0047,5,,2092.91
WO-000151,3,PART,PT-0065,3,,91.25
WO-000151,4,PART,PT-0062,2,,178.52
WO-000151,5,LABOR,,,13.19,1015.63
WO-000152,1,PART,PT-0032,2,,185.09
WO-000152,2,PART,PT-0152,1,,88.1
WO-000152,3,PART,PT-0049,1,,37.92
WO-000152,4,LABOR,,,12.81,896.7
WO-000152,5,LABOR,,,9.3,651.0
WO-000153,1,LABOR,,,3.51,241.31
WO-000153,2,LABOR,,,3.97,272.94
WO-000154,1,PART,PT-0147,1,,425.69
WO-000154,2,LABOR,,,1.38,75.9
WO-000155,1,PART,PT-0053,1,,112.47
WO-000155,2,PART,PT-0008,3,,58.26
WO-000155,3,PART,PT-0168,1,,21.38
WO-000155,4,PART,PT-0153,1,,116.59
WO-000155,5,LABOR,,,18.25,1596.88
WO-000156,1,LABOR,,,1.65,113.44
WO-000156,2,LABOR,,,1.78,122.38
WO-000157,1,PART,PT-0134,2,,76.92
WO-000157,2,PART,PT-0084,2,,83.03
WO-000157,3,LABOR,,,3.17,174.35
WO-000158,1,PART,PT-0086,2,,260.25
WO-000158,2,PART,PT-0137,2,,960.08
WO-000158,3,PART,PT-0056,4,,777.97
WO-000158,4,LABOR,,,3.29,180.95
WO-000159,1,PART,PT-0006,1,,161.56
WO-000159,2,LABOR,,,27.9,1953.0
WO-000159,3,LABOR,,,25.48,1783.6
WO-000160,1,PART,PT-0096,3,,534.97
WO-000160,2,PART,PT-0108,1,,17.87
WO-000160,3,PART,PT-0084,4,,178.56
WO-000160,4,LABOR,,,3.06,185.13
WO-000161,1,PART,PT-0136,6,,1035.89
WO-000161,2,LABOR,,,14.36,987.25
WO-000161,3,LABOR,,,10.4,715.0
WO-000162,1,PART,PT-0002,2,,152.59
WO-000162,2,PART,PT-0098,1,,18.43
WO-000162,3,LABOR,,,1.49,134.1
WO-000162,4,LABOR,,,1.21,108.9
WO-000163,1,PART,PT-0170,3,,68.09
WO-000163,2,PART,PT-0172,3,,219.8
WO-000163,3,PART,PT-0092,2,,138.44
WO-000163,4,LABOR,,,1.67,91.85
WO-000163,5,LABOR,,,1.8,99.0
WO-000164,1,PART,PT-0153,1,,125.22
WO-000164,2,PART,PT-0082,1,,88.34
WO-000164,3,PART,PT-0006,2,,296.48
WO-000164,4,LABOR,,,2.92,262.8
WO-000164,5,LABOR,,,3.5,315.0
WO-000165,1,PART,PT-0115,1,,20.61
WO-000165,2,LABOR,,,5.69,398.3
WO-000166,1,PART,PT-0043,1,,148.52
WO-000166,2,PART,PT-0008,2,,42.62
WO-000166,3,LABOR,,,2.34,163.8
WO-000166,4,LABOR,,,1.84,128.8
