site_id,client_id,site_name,site_type,zip_code_prefix
ST-0060,CL-0014,Elmwick Office,office,179
ST-0061,CL-0014,Norbridge Warehouse,warehouse,162
ST-0062,CL-0014,Fenwick Plant,plant,376
ST-0063,CL-0014,Fenford Warehouse,warehouse,264
ST-0064,CL-0014,Norbridge Office,office,158
ST-0065,CL-0014,Tremont Office,office,384
ST-0066,CL-0014,Aldbridge Plant,plant,224
ST-0067,CL-0014,Norhaven Plant,plant,154
ST-0068,CL-0014,Birchport Plant,plant,374
ST-0069,CL-0014,Garton Warehouse,warehouse,272
ST-0070,CL-0014,Birchmont Plant,plant,219
ST-0071,CL-0015,Garwick Plant,plant,280
ST-0072,CL-0015,Norhaven Warehouse,warehouse,154
ST-0073,CL-0015,Yarport Plant,plant,153
ST-0074,CL-0015,Corford Plant,plant,190
ST-0075,CL-0015,Linford Plant,plant,131
ST-0076,CL-0015,Garton Plant,plant,263
ST-0077,CL-0015,Norhaven Warehouse,warehouse,156
ST-0078,CL-0015,Corford Plant,plant,199
ST-0079,CL-0015,Linport Plant,plant,198
ST-0080,CL-0015,Velport Plant,plant,238
ST-0081,CL-0015,Pelport Plant,plant,174
ST-0082,CL-0015,Dunhaven Warehouse,warehouse,295
ST-0083,CL-0015,Linport Plant,plant,175
ST-0084,CL-0015,Pelport Plant,plant,152
ST-0085,CL-0016,Fenford Plant,plant,264
ST-0086,CL-0016,Corbridge Plant,plant,231
ST-0087,CL-0016,Mardale Warehouse,warehouse,327
ST-0088,CL-0016,Cragford Plant,plant,366
ST-0089,CL-0016,Tremont Warehouse,warehouse,384
ST-0090,CL-0017,Garton Office,office,259
ST-0091,CL-0017,Pelport Plant,plant,165
ST-0092,CL-0018,Yardale Plant,plant,360
ST-0093,CL-0018,Norbridge Plant,plant,164
ST-0094,CL-0018,Birchbridge Office,office,122
ST-0095,CL-0019,Stanton Plant,plant,203
ST-0096,CL-0019,Yarport Plant,plant,155
ST-0097,CL-0019,Elmwick Plant,plant,180
ST-0098,CL-0019,Trewick Plant,plant,307
ST-0099,CL-0020,Dunhaven Plant,plant,295
ST-0100,CL-0021,Treport Warehouse,warehouse,100
ST-0101,CL-0021,Norhaven Plant,plant,154
ST-0102,CL-0021,Marfield Warehouse,warehouse,112
ST-0103,CL-0022,Garcrest Office,office,216
ST-0104,CL-0022,Wickwick Warehouse,warehouse,322
ST-0105,CL-0022,Roshaven Plant,plant,141
ST-0106,CL-0022,Norbridge Warehouse,warehouse,162
ST-0107,CL-0022,Fendale Plant,plant,266
ST-0108,CL-0022,Halewick Plant,plant,336
ST-0109,CL-0023,Dunhaven Warehouse,warehouse,299
ST-0110,CL-0023,Mardale Warehouse,warehouse,333
ST-0111,CL-0023,Garton Plant,plant,272
ST-0112,CL-0024,Fenford Warehouse,warehouse,264
ST-0113,CL-0024,Corford Warehouse,warehouse,186
ST-0114,CL-0024,Alddale Plant,plant,318
ST-0115,CL-0024,Garcrest Plant,plant,214
ST-0116,CL-0024,Roshaven Plant,plant,141
ST-0117,CL-0025,Trewick Warehouse,warehouse,324
ST-0118,CL-0026,Treport Plant,plant,100
ST-0119,CL-0027,Pelport Office,office,174
ST-0120,CL-0027,Stanford Office,office,245
ST-0121,CL-0028,Corbridge Plant,plant,231
ST-0122,CL-0029,Marfield Warehouse,warehouse,119
ST-0123,CL-0029,Birchport Office,office,362
ST-0124,CL-0029,Stanfield Plant,plant,111
ST-0125,CL-0030,Halewick Office,office,339
ST-0126,CL-0030,Alddale Plant,plant,318
ST-0127,CL-0030,Garcrest Plant,plant,208
ST-0128,CL-0030,Yarport Plant,plant,151
ST-0129,CL-0030,Roswick Plant,plant,143
ST-0130,CL-0030,Aldport Plant,plant,370
ST-0131,CL-0030,Fendale Warehouse,warehouse,252
ST-0132,CL-0030,Cragton Warehouse,warehouse,247
ST-0133,CL-0030,Trewick Office,office,307
ST-0134,CL-0030,Linport Plant,plant,175
ST-0135,CL-0030,Wickwick Plant,plant,306
ST-0136,CL-0030,Mardale Plant,plant,327
ST-0137,CL-0031,Corford Plant,plant,182
ST-0138,CL-0031,Tremont Plant,plant,384
ST-0139,CL-0031,Velport Warehouse,warehouse,233
ST-0140,CL-0032,Garton Plant,plant,262
ST-0141,CL-0032,Halewick Office,office,330
ST-0142,CL-0032,Corford Warehouse,warehouse,182
ST-0143,CL-0032,Cragton Plant,plant,247
ST-0144,CL-0032,Stanfield Warehouse,warehouse,111
ST-0145,CL-0032,Mardale Office,office,327
ST-0146,CL-0032,Fenmont Warehouse,warehouse,194
ST-0147,CL-0032,Elmfield Warehouse,warehouse,313
ST-0148,CL-0032,Linport Plant,plant,176
ST-0149,CL-0033,Fenford Warehouse,warehouse,260
ST-0150,CL-0034,Roshaven Plant,plant,141
ST-0151,CL-0034,Duncrest Plant,plant,391
ST-0152,CL-0034,Yardale Plant,plant,369
ST-0153,CL-0035,Pelport Office,office,152
ST-0154,CL-0036,Corbridge Office,office,225
ST-0155,CL-0036,Marhaven Plant,plant,133
ST-0156,CL-0037,Norbridge Plant,plant,164
ST-0157,CL-0037,Dunton Plant,plant,296
ST-0158,CL-0038,Linport Plant,plant,198
ST-0159,CL-0038,Wickwick Plant,plant,306
ST-0160,CL-0038,Elmfield Plant,plant,301
ST-0161,CL-0038,Norhaven Plant,plant,156
ST-0162,CL-0038,Halewick Warehouse,warehouse,345
ST-0163,CL-0038,Yardale Plant,plant,369
ST-0164,CL-0038,Velport Warehouse,warehouse,244
ST-0165,CL-0039,Mardale Plant,plant,327
ST-0166,CL-0039,Norbridge Plant,plant,163
ST-0167,CL-0039,Yarport Plant,plant,151
ST-0168,CL-0039,Halewick Plant,plant,339
ST-0169,CL-0040,Trewick Warehouse,warehouse,324
ST-0170,CL-0040,Duncrest Plant,plant,393
ST-0171,CL-0040,Yarport Plant,plant,155
ST-0172,CL-0040,Birchport Plant,plant,362
ST-0173,CL-0040,Norhaven Plant,plant,154
ST-0174,CL-0040,Cragton Warehouse,warehouse,247
ST-0175,CL-0040,Mardale Office,office,333
ST-0176,CL-0040,Fenmont Plant,plant,189
ST-0177,CL-0041,Tremont Plant,plant,379
ST-0178,CL-0042,Norbridge Plant,plant,162
ST-0179,CL-0042,Haleford Office,office,132
ST-0180,CL-0042,Linbridge Warehouse,warehouse,251
ST-0181,CL-0043,Stanfield Plant,plant,111
ST-0182,CL-0043,Stanford Plant,plant,245
ST-0183,CL-0043,Elmwick Plant,plant,180
ST-0184,CL-0043,Dunhaven Warehouse,warehouse,276
ST-0185,CL-0043,Stanfield Plant,plant,101
ST-0186,CL-0043,Bramfield Plant,plant,273
ST-0187,CL-0044,Velport Plant,plant,238
ST-0188,CL-0044,Fenford Plant,plant,264
ST-0189,CL-0044,Pelport Plant,plant,165
ST-0190,CL-0045,Dunton Plant,plant,281
ST-0191,CL-0045,Stanfield Plant,plant,101
ST-0192,CL-0045,Halewick Plant,plant,345
ST-0193,CL-0046,Marwick Plant,plant,197
ST-0194,CL-0046,Trewick Plant,plant,307
ST-0195,CL-0046,Fenmont Office,office,189
ST-0196,CL-0046,Wickwick Warehouse,warehouse,322
ST-0197,CL-0046,Dunhaven Warehouse,warehouse,299
ST-0198,CL-0046,Trewick Plant,plant,307
ST-0199,CL-0046,Yarport Plant,plant,151
ST-0200,CL-0046,Dunhaven Office,office,276
ST-0201,CL-0046,Aldbridge Plant,plant,224
ST-0202,CL-0046,Marhaven Warehouse,warehouse,133
ST-0203,CL-0046,Garton Warehouse,warehouse,263
ST-0204,CL-0047,Garton Plant,plant,262
ST-0205,CL-0047,Pelwick Warehouse,warehouse,297
ST-0206,CL-0047,Velport Plant,plant,233
ST-0207,CL-0048,Bramfield Office,office,268
ST-0208,CL-0049,Garcrest Warehouse,warehouse,216
ST-0209,CL-0050,Dunhaven Plant,plant,284
ST-0210,CL-0050,Norbridge Office,office,158
ST-0211,CL-0051,Pelwick Plant,plant,293
ST-0212,CL-0051,Wickwick Warehouse,warehouse,316
ST-0213,CL-0051,Corfield Plant,plant,381
ST-0214,CL-0052,Stanfield Plant,plant,115
ST-0215,CL-0053,Stanfield Office,office,101
ST-0216,CL-0053,Stanfield Plant,plant,101
ST-0217,CL-0053,Dunhaven Plant,plant,299
ST-0218,CL-0054,Birchport Office,office,374
ST-0219,CL-0054,Tremont Office,office,379
ST-0220,CL-0055,Fenmont Office,office,189
ST-0221,CL-0055,Dunton Warehouse,warehouse,281
ST-0222,CL-0055,Elmwick Plant,plant,180
ST-0223,CL-0055,Alddale Office,office,318
ST-0224,CL-0056,Corfield Plant,plant,387
ST-0225,CL-0056,Pelwick Plant,plant,297
ST-0226,CL-0056,Garhaven Plant,plant,394
ST-0227,CL-0056,Halewick Plant,plant,345
ST-0228,CL-0056,Corbridge Plant,plant,230
ST-0229,CL-0057,Brammont Office,office,368
ST-0230,CL-0057,Velport Office,office,244
ST-0231,CL-0057,Halewick Plant,plant,330
ST-0232,CL-0058,Aldbridge Plant,plant,224
ST-0233,CL-0058,Stanfield Plant,plant,113
ST-0234,CL-0058,Birchport Office,office,362
ST-0235,CL-0058,Wickdale Office,office,326
ST-0236,CL-0058,Birchbridge Warehouse,warehouse,102
ST-0237,CL-0059,Norhaven Plant,plant,169
ST-0238,CL-0059,Linbridge Plant,plant,251
ST-0239,CL-0059,Birchport Office,office,362
ST-0240,CL-0059,Fenmont Office,office,194
ST-0241,CL-0059,Fenwick Plant,plant,376
ST-0242,CL-0059,Halewick Office,office,336
ST-0243,CL-0059,Elmfield Warehouse,warehouse,312
ST-0244,CL-0059,Dunhaven Plant,plant,298
ST-0245,CL-0059,Stanfield Warehouse,warehouse,101
ST-0246,CL-0059,Corford Warehouse,warehouse,182
ST-0247,CL-0059,Duncrest Plant,plant,393
ST-0248,CL-0059,Mardale Warehouse,warehouse,334
ST-0249,CL-0059,Wickhaven Warehouse,warehouse,357
ST-0250,CL-0059,Haleford Warehouse,warehouse,147
ST-0251,CL-0060,Corbridge Plant,plant,241
ST-0252,CL-0061,Corbridge Warehouse,warehouse,225
ST-0253,CL-0061,Norbridge Plant,plant,158
ST-0254,CL-0061,Birchport Warehouse,warehouse,362
ST-0255,CL-0061,Cragton Warehouse,warehouse,229
ST-0256,CL-0061,Birchmont Plant,plant,223
ST-0257,CL-0061,Dunton Office,office,296
ST-0258,CL-0062,Fendale Warehouse,warehouse,252
ST-0259,CL-0063,Velport Plant,plant,238
ST-0260,CL-0063,Dunton Plant,plant,278
ST-0261,CL-0063,Cragford Plant,plant,366
ST-0262,CL-0063,Garcrest Office,office,216
ST-0263,CL-0063,Mardale Warehouse,warehouse,334
ST-0264,CL-0063,Dunhaven Warehouse,warehouse,299
ST-0265,CL-0063,Yarport Plant,plant,153
ST-0266,CL-0063,Garwick Warehouse,warehouse,280
ST-0267,CL-0063,Elmfield Warehouse,warehouse,312
ST-0268,CL-0063,Wickdale Plant,plant,326
ST-0269,CL-0063,Halewick Warehouse,warehouse,330
ST-0270,CL-0063,Dunton Office,office,296
ST-0271,CL-0063,Norbridge Office,office,158
ST-0272,CL-0063,Yarhaven Plant,plant,201
ST-0273,CL-0064,Stanford Office,office,245
ST-0274,CL-0064,Fenwick Plant,plant,398
ST-0275,CL-0064,Stanfield Warehouse,warehouse,115
ST-0276,CL-0065,Garton Warehouse,warehouse,259
ST-0277,CL-0065,Birchmont Office,office,219
ST-0278,CL-0065,Birchmont Plant,plant,223
ST-0279,CL-0065,Trewick Office,office,324
ST-0280,CL-0065,Marwick Office,office,197
ST-0281,CL-0066,Fenford Plant,plant,264
ST-0282,CL-0067,Tremont Warehouse,warehouse,379
ST-0283,CL-0067,Garton Warehouse,warehouse,262
ST-0284,CL-0068,Trewick Office,office,307
ST-0285,CL-0069,Birchport Plant,plant,374
ST-0286,CL-0069,Roswick Plant,plant,143
ST-0287,CL-0069,Birchport Plant,plant,362
ST-0288,CL-0069,Alddale Warehouse,warehouse,320
ST-0289,CL-0069,Tremont Plant,plant,375
ST-0290,CL-0069,Dunton Warehouse,warehouse,296
ST-0291,CL-0070,Yarport Office,office,153
ST-0292,CL-0070,Haleford Warehouse,warehouse,147
ST-0293,CL-0070,Mardale Office,office,327
ST-0294,CL-0070,Corbridge Office,office,230
ST-0295,CL-0071,Trewick Plant,plant,307
ST-0296,CL-0071,Cragton Warehouse,warehouse,247
ST-0297,CL-0071,Stanfield Warehouse,warehouse,111
ST-0298,CL-0072,Corbridge Plant,plant,234
ST-0299,CL-0072,Treport Plant,plant,109
ST-0300,CL-0072,Garton Office,office,263
ST-0301,CL-0072,Elmfield Plant,plant,312
ST-0302,CL-0073,Dunton Office,office,281
ST-0303,CL-0073,Norbridge Warehouse,warehouse,164
ST-0304,CL-0073,Wickhaven Plant,plant,357
ST-0305,CL-0073,Mardale Warehouse,warehouse,327
ST-0306,CL-0073,Yarport Office,office,153
ST-0307,CL-0073,Fenwick Plant,plant,378
ST-0308,CL-0073,Marton Warehouse,warehouse,184
ST-0309,CL-0073,Garcrest Warehouse,warehouse,214
ST-0310,CL-0073,Marfield Plant,plant,114
ST-0311,CL-0073,Mardale Plant,plant,333
ST-0312,CL-0074,Garton Plant,plant,272
ST-0313,CL-0074,Wickwick Warehouse,warehouse,306
ST-0314,CL-0075,Brammont Plant,plant,350
ST-0315,CL-0075,Fendale Warehouse,warehouse,252
ST-0316,CL-0075,Norbridge Plant,plant,158
ST-0317,CL-0075,Duncrest Plant,plant,391
ST-0318,CL-0075,Corford Warehouse,warehouse,182
ST-0319,CL-0075,Corford Warehouse,warehouse,182
ST-0320,CL-0075,Elmfield Plant,plant,313
ST-0321,CL-0075,Wickwick Plant,plant,316
ST-0322,CL-0075,Norbridge Plant,plant,162
ST-0323,CL-0075,Tremont Plant,plant,379
ST-0324,CL-0075,Aldport Office,office,370
ST-0325,CL-0075,Halewick Warehouse,warehouse,345
ST-0326,CL-0076,Corbridge Warehouse,warehouse,241
ST-0327,CL-0077,Cragford Warehouse,warehouse,366
ST-0328,CL-0077,Haleford Warehouse,warehouse,137
ST-0329,CL-0077,Marfield Plant,plant,114
ST-0330,CL-0077,Cragton Plant,plant,229
ST-0331,CL-0078,Fendale Warehouse,warehouse,252
ST-0332,CL-0078,Haleford Plant,plant,137
ST-0333,CL-0078,Haleford Warehouse,warehouse,132
ST-0334,CL-0078,Cragford Plant,plant,366
ST-0335,CL-0078,Velmont Plant,plant,346
ST-0336,CL-0078,Halewick Plant,plant,345
ST-0337,CL-0078,Marfield Plant,plant,114
ST-0338,CL-0078,Norbridge Plant,plant,162
ST-0339,CL-0078,Corbridge Plant,plant,231
ST-0340,CL-0078,Garhaven Warehouse,warehouse,394
ST-0341,CL-0078,Alddale Warehouse,warehouse,318
ST-0342,CL-0078,Linport Plant,plant,198
ST-0343,CL-0078,Mardale Plant,plant,327
ST-0344,CL-0079,Dunton Plant,plant,279
ST-0345,CL-0079,Norhaven Warehouse,warehouse,172
ST-0346,CL-0079,Fenmont Warehouse,warehouse,189
ST-0347,CL-0080,Fenfield Plant,plant,145
ST-0348,CL-0080,Stanford Warehouse,warehouse,245
ST-0349,CL-0080,Wickhaven Plant,plant,371
ST-0350,CL-0081,Birchmont Plant,plant,219
ST-0351,CL-0081,Fenmont Office,office,189
ST-0352,CL-0081,Garcrest Plant,plant,208
ST-0353,CL-0082,Cragford Plant,plant,354
ST-0354,CL-0082,Pelport Plant,plant,174
ST-0355,CL-0082,Dunhaven Warehouse,warehouse,284
ST-0356,CL-0082,Elmfield Plant,plant,313
ST-0357,CL-0082,Stanton Plant,plant,210
ST-0358,CL-0083,Pelport Warehouse,warehouse,174
ST-0359,CL-0084,Linbridge Office,office,251
ST-0360,CL-0084,Roswick Plant,plant,143
ST-0361,CL-0084,Stanford Warehouse,warehouse,245
ST-0362,CL-0085,Garton Plant,plant,259
ST-0363,CL-0085,Duncrest Plant,plant,393
ST-0364,CL-0085,Fenmont Warehouse,warehouse,189
ST-0365,CL-0086,Wickwick Warehouse,warehouse,306
ST-0366,CL-0086,Velport Plant,plant,226
ST-0367,CL-0086,Corfield Plant,plant,387
ST-0368,CL-0086,Pelport Plant,plant,174
ST-0369,CL-0086,Garton Warehouse,warehouse,272
ST-0370,CL-0086,Fenfield Plant,plant,145
ST-0371,CL-0086,Corbridge Plant,plant,234
ST-0372,CL-0086,Pelport Plant,plant,165
ST-0373,CL-0086,Cragton Warehouse,warehouse,229
ST-0374,CL-0086,Stanton Plant,plant,203
ST-0375,CL-0086,Fendale Plant,plant,266
ST-0376,CL-0086,Velmont Warehouse,warehouse,346
ST-0377,CL-0086,Tremont Warehouse,warehouse,379
ST-0378,CL-0086,Fenfield Warehouse,warehouse,145
ST-0379,CL-0087,Cragford Plant,plant,366
ST-0380,CL-0087,Velport Plant,plant,226
ST-0381,CL-0087,Wickwick Warehouse,warehouse,316
ST-0382,CL-0088,Trewick Plant,plant,307
ST-0383,CL-0088,Haleford Plant,plant,137
ST-0384,CL-0088,Tremont Office,office,384
ST-0385,CL-0089,Wickwick Plant,plant,322
ST-0386,CL-0089,Cragton Office,office,247
ST-0387,CL-0089,Yarhaven Office,office,201
ST-0388,CL-0090,Fendale Warehouse,warehouse,252
ST-0389,CL-0090,Fenfield Plant,plant,145
ST-0390,CL-0090,Birchbridge Office,office,102
ST-0391,CL-0090,Velport Warehouse,warehouse,238
ST-0392,CL-0090,Elmfield Plant,plant,312
ST-0393,CL-0090,Yarport Plant,plant,151
ST-0394,CL-0091,Mardale Plant,plant,349
ST-0395,CL-0091,Garton Warehouse,warehouse,263
ST-0396,CL-0091,Garwick Plant,plant,280
ST-0397,CL-0092,Norhaven Plant,plant,154
ST-0398,CL-0092,Linport Plant,plant,175
ST-0399,CL-0093,Velport Plant,plant,233
ST-0400,CL-0093,Haleford Plant,plant,147
ST-0401,CL-0093,Mardale Office,office,327
ST-0402,CL-0093,Bramfield Plant,plant,273
ST-0403,CL-0093,Mardale Warehouse,warehouse,334
ST-0404,CL-0094,Garton Plant,plant,262
ST-0405,CL-0094,Corbridge Plant,plant,225
ST-0406,CL-0094,Pelport Warehouse,warehouse,165
ST-0407,CL-0095,Dunhaven Plant,plant,299
ST-0408,CL-0095,Corfield Warehouse,warehouse,381
ST-0409,CL-0095,Trewick Warehouse,warehouse,324
ST-0410,CL-0096,Mardale Plant,plant,349
ST-0411,CL-0096,Alddale Plant,plant,318
ST-0412,CL-0096,Velport Office,office,233
ST-0413,CL-0096,Fenwick Plant,plant,376
ST-0414,CL-0096,Yarhaven Plant,plant,201
ST-0415,CL-0096,Fenmont Plant,plant,189
ST-0416,CL-0096,Velport Office,office,238
ST-0417,CL-0096,Alddale Warehouse,warehouse,320
ST-0418,CL-0096,Marfield Plant,plant,118
ST-0419,CL-0096,Fenford Warehouse,warehouse,264
ST-0420,CL-0096,Fenfield Plant,plant,145
ST-0421,CL-0096,Yarhaven Plant,plant,201
ST-0422,CL-0096,Elmfield Plant,plant,301
ST-0423,CL-0096,Linbridge Plant,plant,251
ST-0424,CL-0096,Fenmont Warehouse,warehouse,194
ST-0425,CL-0097,Birchport Plant,plant,374
ST-0426,CL-0097,Yarhaven Warehouse,warehouse,201
ST-0427,CL-0097,Norbridge Plant,plant,163
ST-0428,CL-0098,Stanton Plant,plant,203
ST-0429,CL-0098,Fenmont Plant,plant,189
ST-0430,CL-0098,Mardale Plant,plant,334
ST-0431,CL-0099,Mardale Plant,plant,333
ST-0432,CL-0099,Norhaven Plant,plant,169
ST-0433,CL-0100,Yardale Warehouse,warehouse,369
ST-0434,CL-0100,Corford Plant,plant,182
ST-0435,CL-0101,Yarport Warehouse,warehouse,153
ST-0436,CL-0101,Corford Plant,plant,190
ST-0437,CL-0101,Yardale Plant,plant,360
ST-0438,CL-0101,Dunhaven Warehouse,warehouse,276
ST-0439,CL-0101,Norbridge Office,office,162
ST-0440,CL-0101,Fendale Office,office,266
ST-0441,CL-0101,Wickhaven Warehouse,warehouse,357
ST-0442,CL-0101,Treport Plant,plant,100
ST-0443,CL-0101,Marhaven Plant,plant,133
ST-0444,CL-0101,Haleford Plant,plant,147
ST-0445,CL-0101,Elmfield Warehouse,warehouse,313
ST-0446,CL-0101,Marfield Plant,plant,112
ST-0447,CL-0102,Halewick Plant,plant,336
ST-0448,CL-0102,Norhaven Warehouse,warehouse,154
ST-0449,CL-0102,Haleford Plant,plant,137
ST-0450,CL-0103,Stanton Plant,plant,210
ST-0451,CL-0103,Fenmont Plant,plant,194
ST-0452,CL-0103,Marton Warehouse,warehouse,184
ST-0453,CL-0104,Elmwick Warehouse,warehouse,180
ST-0454,CL-0104,Pelwick Warehouse,warehouse,297
ST-0455,CL-0105,Linford Plant,plant,131
ST-0456,CL-0105,Yardale Plant,plant,369
ST-0457,CL-0105,Birchport Warehouse,warehouse,362
ST-0458,CL-0105,Treport Office,office,109
ST-0459,CL-0105,Pelport Warehouse,warehouse,152
ST-0460,CL-0105,Fenford Warehouse,warehouse,264
ST-0461,CL-0105,Wickhaven Plant,plant,357
ST-0462,CL-0105,Bramfield Plant,plant,257
ST-0463,CL-0105,Norhaven Plant,plant,154
ST-0464,CL-0106,Stanton Plant,plant,210
ST-0465,CL-0106,Fenwick Plant,plant,378
ST-0466,CL-0106,Linford Plant,plant,131
ST-0467,CL-0106,Fendale Plant,plant,252
ST-0468,CL-0106,Haleford Plant,plant,137
ST-0469,CL-0107,Marhaven Office,office,133
ST-0470,CL-0107,Garcrest Plant,plant,216
ST-0471,CL-0107,Dunhaven Warehouse,warehouse,298
ST-0472,CL-0107,Dunton Plant,plant,281
ST-0473,CL-0107,Marwick Plant,plant,197
ST-0474,CL-0107,Pelport Plant,plant,165
ST-0475,CL-0107,Corfield Plant,plant,387
ST-0476,CL-0107,Norbridge Warehouse,warehouse,162
ST-0477,CL-0107,Pelport Plant,plant,174
ST-0478,CL-0107,Linport Plant,plant,175
ST-0479,CL-0107,Cragford Plant,plant,366
ST-0480,CL-0107,Trewick Plant,plant,307
ST-0481,CL-0107,Haleford Plant,plant,147
ST-0482,CL-0107,Norhaven Warehouse,warehouse,169
ST-0483,CL-0107,Linford Plant,plant,135
ST-0484,CL-0108,Garcrest Plant,plant,208
ST-0485,CL-0108,Wickdale Plant,plant,326
ST-0486,CL-0108,Stanfield Warehouse,warehouse,113
ST-0487,CL-0109,Mardale Warehouse,warehouse,349
ST-0488,CL-0109,Garcrest Plant,plant,214
ST-0489,CL-0110,Velport Office,office,238
ST-0490,CL-0110,Norhaven Plant,plant,156
ST-0491,CL-0110,Stanfield Office,office,115
ST-0492,CL-0111,Garwick Plant,plant,280
ST-0493,CL-0111,Fenford Plant,plant,264
ST-0494,CL-0111,Mardale Plant,plant,334
ST-0495,CL-0112,Norhaven Warehouse,warehouse,154
ST-0496,CL-0113,Elmfield Plant,plant,313
ST-0497,CL-0113,Yarport Plant,plant,153
ST-0498,CL-0113,Duncrest Warehouse,warehouse,393
ST-0499,CL-0114,Linport Warehouse,warehouse,198
ST-0500,CL-0114,Tremont Warehouse,warehouse,379
ST-0501,CL-0114,Birchport Warehouse,warehouse,374
ST-0502,CL-0114,Dunton Plant,plant,279
ST-0503,CL-0114,Halewick Warehouse,warehouse,336
ST-0504,CL-0114,Velport Plant,plant,233
ST-0505,CL-0115,Corfield Warehouse,warehouse,381
ST-0506,CL-0116,Marfield Plant,plant,114
ST-0507,CL-0116,Haleford Plant,plant,147
ST-0508,CL-0116,Aldport Plant,plant,370
ST-0509,CL-0116,Fenmont Plant,plant,194
ST-0510,CL-0116,Tremont Warehouse,warehouse,384
ST-0511,CL-0116,Velport Plant,plant,238
ST-0512,CL-0116,Elmfield Plant,plant,301
ST-0513,CL-0116,Stanfield Plant,plant,115
ST-0514,CL-0116,Birchmont Plant,plant,219
ST-0515,CL-0116,Stanton Plant,plant,203
ST-0516,CL-0116,Linbridge Plant,plant,251
ST-0517,CL-0116,Dunhaven Warehouse,warehouse,276
ST-0518,CL-0117,Haleford Plant,plant,147
ST-0519,CL-0117,Cragford Warehouse,warehouse,366
ST-0520,CL-0117,Alddale Plant,plant,320
ST-0521,CL-0118,Velport Warehouse,warehouse,233
ST-0522,CL-0118,Velmont Plant,plant,346
ST-0523,CL-0118,Norhaven Plant,plant,154
ST-0524,CL-0119,Cragford Plant,plant,366
ST-0525,CL-0119,Tremont Office,office,379
ST-0526,CL-0119,Velmont Warehouse,warehouse,346
ST-0527,CL-0119,Marfield Warehouse,warehouse,114
ST-0528,CL-0119,Pelport Warehouse,warehouse,174
ST-0529,CL-0120,Yardale Plant,plant,360
ST-0530,CL-0120,Aldbridge Office,office,224
