work_order_id,response_sequence,responded_date,satisfaction_score
WO-000274,2,2017-03-29,9
WO-000277,1,2017-02-17,8
WO-000277,2,2017-03-13,8
WO-000278,1,2017-02-18,6
WO-000279,1,2017-03-08,9
WO-000281,1,2017-02-17,7
WO-000282,1,2017-03-07,7
WO-000283,1,2017-03-03,7
WO-000284,1,2017-02-26,5
WO-000284,2,2017-03-05,8
WO-000285,1,2017-02-18,7
WO-000286,1,2017-02-23,10
WO-000289,1,2017-02-19,8
WO-000291,1,2017-03-10,7
WO-000296,1,2017-02-26,7
WO-000297,1,2017-03-18,5
WO-000297,2,2017-04-09,7
WO-000298,1,2017-03-07,9
WO-000298,2,2017-03-25,10
WO-000300,1,2017-03-03,8
WO-000302,1,2017-03-04,8
WO-000304,1,2017-03-04,7
WO-000306,1,2017-02-26,9
WO-000307,1,2017-03-01,10
WO-000309,1,2017-02-27,10
WO-000310,1,2017-03-07,10
WO-000311,1,2017-02-24,9
WO-000312,1,2017-02-23,3
WO-000312,2,2017-03-13,6
WO-000314,1,2017-03-12,7
WO-000316,1,2017-02-26,5
WO-000316,2,2017-03-22,5
WO-000318,1,2017-03-03,8
WO-000320,1,2017-03-10,7
WO-000323,1,2017-03-01,8
WO-000326,1,2017-03-02,9
WO-000328,1,2017-02-25,8
WO-000330,1,2017-02-23,7
WO-000331,1,2017-03-05,10
WO-000331,2,2017-03-13,10
WO-000332,1,2017-03-05,7
WO-000334,1,2017-02-27,6
WO-000335,1,2017-03-08,6
WO-000338,1,2017-03-03,7
WO-000344,1,2017-03-01,6
WO-000345,1,2017-03-02,10
WO-000346,1,2017-03-11,6
WO-000347,1,2017-03-06,8
WO-000348,1,2017-03-07,7
WO-000350,1,2017-02-23,6
WO-000360,1,2017-03-15,8
WO-000361,1,2017-03-22,6
WO-000362,1,2017-03-18,10
WO-000367,1,2017-03-21,7
WO-000368,1,2017-03-05,8
WO-000369,1,2017-03-09,9
WO-000373,1,2017-03-19,8
WO-000374,1,2017-02-24,9
WO-000375,1,2017-03-01,9
WO-000379,1,2017-03-12,8
WO-000380,1,2017-03-08,7
WO-000383,1,2017-03-27,8
WO-000386,1,2017-03-21,5
WO-000386,2,2017-04-17,7
WO-000387,1,2017-03-17,8
WO-000390,1,2017-03-11,10
WO-000391,1,2017-03-02,6
WO-000393,1,2017-03-10,4
WO-000393,2,2017-04-02,7
WO-000395,1,2017-03-25,8
WO-000396,1,2017-03-30,9
WO-000399,1,2017-03-15,9
WO-000401,1,2017-03-14,10
WO-000403,1,2017-03-08,9
WO-000407,1,2017-03-15,7
WO-000407,2,2017-03-30,8
WO-000409,1,2017-02-28,8
WO-000410,1,2017-03-27,5
WO-000410,2,2017-04-19,7
WO-000411,1,2017-03-19,9
WO-000412,1,2017-02-28,8
WO-000414,1,2017-03-27,7
WO-000415,1,2017-03-12,7
WO-000416,1,2017-03-23,9
WO-000417,1,2017-03-16,8
WO-000419,1,2017-03-28,8
WO-000421,1,2017-03-20,9
WO-000424,1,2017-03-11,9
WO-000426,1,2017-03-09,8
WO-000426,2,2017-03-17,7
WO-000427,1,2017-03-11,10
WO-000429,1,2017-03-29,9
WO-000430,1,2017-03-24,8
WO-000431,1,2017-03-24,8
WO-000432,1,2017-03-20,8
WO-000438,1,2017-03-20,8
WO-000439,1,2017-03-25,9
WO-000440,1,2017-03-25,9
WO-000445,1,2017-03-22,8
WO-000446,1,2017-03-26,9
WO-000447,1,2017-03-07,9
WO-000449,1,2017-03-14,6
WO-000451,1,2017-03-21,8
WO-000455,1,2017-03-22,6
WO-000457,1,2017-03-12,9
WO-000457,2,2017-03-21,8
WO-000459,1,2017-03-18,8
WO-000460,1,2017-03-27,9
WO-000461,1,2017-03-19,5
WO-000461,2,2017-03-30,8
WO-000463,1,2017-03-19,8
WO-000465,1,2017-03-11,10
WO-000467,1,2017-03-24,9
WO-000467,2,2017-04-05,9
WO-000468,1,2017-03-14,7
WO-000471,1,2017-03-24,5
WO-000471,2,2017-04-21,9
WO-000472,1,2017-03-10,8
WO-000474,1,2017-04-04,10
WO-000476,1,2017-03-21,7
WO-000478,1,2017-04-04,9
WO-000478,2,2017-04-14,8
WO-000480,1,2017-03-31,9
WO-000481,1,2017-03-13,7
WO-000482,1,2017-03-16,9
WO-000482,2,2017-04-04,9
WO-000483,1,2017-04-06,2
WO-000483,2,2017-04-13,8
WO-000485,1,2017-03-28,10
WO-000488,1,2017-04-04,9
WO-000490,1,2017-03-22,8
WO-000492,1,2017-03-24,6
WO-000495,1,2017-03-21,9
WO-000496,1,2017-03-21,8
WO-000497,1,2017-03-20,7
WO-000498,1,2017-03-29,8
WO-000500,1,2017-04-12,3
WO-000500,2,2017-04-23,7
WO-000501,1,2017-04-19,6
WO-000503,1,2017-04-05,8
WO-000504,1,2017-03-26,10
WO-000505,1,2017-03-12,10
WO-000506,1,2017-04-08,3
WO-000506,2,2017-04-30,6
WO-000507,1,2017-03-29,9
WO-000508,1,2017-04-01,9
WO-000510,1,2017-03-22,9
WO-000511,1,2017-04-11,6
WO-000514,1,2017-04-01,8
WO-000516,1,2017-03-21,7
WO-000519,1,2017-03-21,6
WO-000523,1,2017-04-07,6
WO-000525,1,2017-04-03,7
WO-000527,1,2017-04-02,8
WO-000529,1,2017-03-29,10
WO-000538,1,2017-03-30,9
WO-000542,1,2017-03-30,6
WO-000543,1,2017-04-07,8
WO-000545,1,2017-04-10,7
WO-000547,1,2017-04-05,7
WO-000549,1,2017-03-26,10
WO-000553,1,2017-04-07,9
WO-000554,1,2017-04-04,8
WO-000555,1,2017-04-15,8
WO-000556,1,2017-03-22,8
WO-000557,1,2017-03-28,8
WO-000559,1,2017-03-21,9
WO-000561,1,2017-04-05,7
WO-000568,1,2017-04-01,4
WO-000568,2,2017-04-27,8
WO-000569,1,2017-03-30,6
WO-000572,1,2017-03-27,8
WO-000574,1,2017-03-30,9
WO-000576,1,2017-04-15,7
WO-000579,1,2017-04-04,5
WO-000580,1,2017-04-03,7
WO-000581,1,2017-04-06,8
WO-000584,1,2017-04-01,7
WO-000585,1,2017-04-13,8
WO-000587,1,2017-03-23,6
WO-000588,1,2017-04-04,8
WO-000589,1,2017-04-11,9
WO-000590,1,2017-03-26,7
WO-000591,1,2017-04-13,9
WO-000592,1,2017-04-27,4
WO-000598,1,2017-04-14,7
WO-000599,1,2017-04-14,9
WO-000607,1,2017-04-03,6
WO-000608,1,2017-04-11,10
WO-000614,1,2017-04-04,8
WO-000615,1,2017-04-17,9
WO-000619,1,2017-04-13,7
WO-000620,1,2017-04-10,9
WO-000621,1,2017-04-01,9
WO-000622,1,2017-04-13,6
WO-000625,1,2017-04-20,6
WO-000628,1,2017-04-09,9
WO-000629,1,2017-04-20,4
WO-000629,2,2017-05-06,6
WO-000630,1,2017-04-07,10
WO-000631,1,2017-04-26,1
WO-000631,2,2017-05-17,3
WO-000637,1,2017-04-19,6
WO-000638,1,2017-04-15,8
WO-000639,1,2017-04-09,5
WO-000639,2,2017-04-24,8
WO-000640,1,2017-04-05,9
WO-000642,1,2017-04-12,10
WO-000643,1,2017-04-15,6
WO-000644,1,2017-04-12,7
WO-000646,1,2017-04-03,5
WO-000646,2,2017-04-17,9
WO-000648,1,2017-04-18,10
WO-000650,1,2017-04-10,1
WO-000650,2,2017-05-01,6
WO-000651,1,2017-04-11,7
WO-000653,1,2017-04-21,9
WO-000654,1,2017-04-15,7
WO-000655,1,2017-04-22,3
WO-000655,2,2017-05-01,4
WO-000656,1,2017-04-21,7
WO-000658,1,2017-04-18,9
WO-000659,1,2017-04-22,4
WO-000659,2,2017-05-18,9
WO-000660,1,2017-04-23,8
WO-000661,1,2017-04-25,5
WO-000661,2,2017-05-16,10
WO-000662,1,2017-04-22,8
WO-000663,1,2017-04-20,10
WO-000664,1,2017-04-21,9
WO-000666,1,2017-04-08,10
WO-000669,1,2017-04-18,5
WO-000669,2,2017-05-13,10
WO-000670,1,2017-05-03,5
WO-000670,2,2017-05-23,10
WO-000672,1,2017-05-03,8
WO-000674,1,2017-04-27,10
WO-000675,1,2017-04-17,2
WO-000675,2,2017-05-14,4
WO-000678,1,2017-04-14,7
WO-000679,1,2017-04-30,4
WO-000679,2,2017-05-28,6
WO-000686,1,2017-04-23,10
WO-000687,1,2017-04-20,7
WO-000693,1,2017-04-22,9
WO-000694,1,2017-04-24,7
WO-000695,1,2017-04-21,8
WO-000696,1,2017-05-06,6
WO-000701,1,2017-04-25,6
WO-000702,1,2017-04-09,9
WO-000708,1,2017-05-05,4
WO-000708,2,2017-05-19,8
WO-000709,1,2017-04-18,6
WO-000711,1,2017-04-29,5
WO-000711,2,2017-05-27,8
WO-000713,1,2017-04-19,6
WO-000717,1,2017-04-19,9
WO-000718,1,2017-04-10,9
WO-000720,1,2017-04-13,7
WO-000721,1,2017-05-06,9
WO-000722,1,2017-04-18,9
WO-000723,1,2017-04-22,9
WO-000724,1,2017-05-04,6
WO-000725,1,2017-04-13,7
WO-000727,1,2017-05-04,8
WO-000728,1,2017-04-18,9
WO-000729,1,2017-04-25,8
WO-000731,1,2017-04-28,7
WO-000732,1,2017-04-24,6
WO-000735,1,2017-04-17,8
WO-000736,1,2017-05-09,8
WO-000740,1,2017-04-22,8
WO-000741,1,2017-05-06,5
WO-000741,2,2017-06-02,8
WO-000744,1,2017-04-24,6
WO-000745,1,2017-04-23,8
WO-000747,1,2017-04-15,8
WO-000754,1,2017-04-29,10
WO-000757,1,2017-05-01,8
WO-000759,1,2017-05-05,9
WO-000761,1,2017-05-02,10
WO-000762,1,2017-05-04,5
WO-000762,2,2017-05-16,8
WO-000764,1,2017-05-01,5
WO-000764,2,2017-05-28,8
WO-000765,1,2017-05-06,8
WO-000766,1,2017-04-21,9
WO-000768,1,2017-05-08,7
WO-000771,1,2017-05-11,7
WO-000773,1,2017-04-15,5
WO-000773,2,2017-05-09,10
WO-000777,1,2017-05-08,9
WO-000780,1,2017-05-08,8
WO-000783,1,2017-04-23,8
WO-000786,1,2017-04-24,8
WO-000787,1,2017-04-27,6
WO-000791,1,2017-04-23,6
WO-000794,1,2017-05-10,10
WO-000794,2,2017-06-01,9
WO-000795,1,2017-05-08,8
WO-000796,1,2017-05-04,7
WO-000797,1,2017-04-29,7
WO-000798,1,2017-04-28,8
WO-000799,1,2017-05-06,6
WO-000801,1,2017-04-25,9
WO-000802,1,2017-04-24,6
WO-000803,1,2017-05-05,7
WO-000805,1,2017-04-24,9
WO-000809,1,2017-04-27,6
WO-000812,1,2017-05-02,10
WO-000812,2,2017-05-19,10
WO-000817,1,2017-05-09,5
WO-000818,1,2017-05-03,5
WO-000820,1,2017-05-10,7
WO-000821,1,2017-05-06,9
WO-000824,1,2017-05-07,7
WO-000826,1,2017-05-21,3
WO-000826,2,2017-06-03,6
WO-000828,1,2017-05-02,6
WO-000829,1,2017-04-22,6
WO-000830,1,2017-05-12,5
WO-000830,2,2017-06-01,8
WO-000832,1,2017-05-07,8
WO-000834,1,2017-05-13,10
WO-000836,1,2017-04-28,7
WO-000840,1,2017-05-12,8
WO-000841,1,2017-05-03,6
WO-000846,1,2017-05-07,6
WO-000847,1,2017-05-10,9
WO-000851,1,2017-05-04,10
WO-000852,1,2017-05-17,7
WO-000853,1,2017-05-19,8
WO-000854,1,2017-05-20,7
WO-000855,1,2017-05-14,10
WO-000857,1,2017-05-12,7
WO-000860,1,2017-04-27,8
WO-000861,1,2017-04-28,5
WO-000861,2,2017-05-23,7
WO-000862,1,2017-05-27,8
WO-000863,1,2017-04-28,7
WO-000864,1,2017-04-29,6
WO-000865,1,2017-05-06,10
WO-000868,1,2017-05-04,6
WO-000869,1,2017-05-17,8
WO-000870,1,2017-05-15,5
WO-000870,2,2017-05-28,10
WO-000871,1,2017-05-10,10
WO-000872,1,2017-05-02,9
WO-000876,1,2017-05-21,8
WO-000877,1,2017-05-11,9
WO-000885,1,2017-05-24,4
WO-000885,2,2017-06-18,8
WO-000886,1,2017-05-27,10
WO-000887,1,2017-05-26,7
WO-000889,1,2017-05-18,5
WO-000889,2,2017-06-16,10
WO-000890,1,2017-05-20,6
WO-000891,1,2017-05-17,7
WO-000895,1,2017-05-09,8
WO-000899,1,2017-05-27,9
WO-000901,1,2017-05-30,8
WO-000902,1,2017-05-12,7
WO-000906,1,2017-05-05,8
WO-000907,1,2017-05-13,10
WO-000908,1,2017-05-15,7
WO-000909,1,2017-05-11,7
WO-000911,1,2017-05-15,6
WO-000914,1,2017-05-16,7
WO-000918,1,2017-05-15,10
WO-000923,1,2017-05-12,8
WO-000924,1,2017-05-25,9
WO-000926,1,2017-05-22,8
WO-000932,1,2017-05-13,7
WO-000933,1,2017-05-25,4
WO-000936,1,2017-06-03,5
WO-000936,2,2017-06-14,10
WO-000940,1,2017-05-27,8
WO-000941,1,2017-05-14,9
WO-000942,1,2017-05-13,8
WO-000943,1,2017-05-17,7
WO-000943,2,2017-05-27,8
WO-000945,1,2017-05-23,6
WO-000947,1,2017-05-14,8
WO-000949,1,2017-05-06,8
WO-000950,1,2017-05-14,4
WO-000950,2,2017-05-30,9
WO-000951,1,2017-05-23,6
WO-000952,1,2017-05-16,7
WO-000953,1,2017-05-09,5
WO-000953,2,2017-06-04,8
WO-000954,1,2017-05-25,7
WO-000955,1,2017-05-15,7
WO-000956,1,2017-05-16,5
WO-000956,2,2017-06-06,9
WO-000957,1,2017-05-25,9
WO-000960,1,2017-05-26,8
WO-000961,1,2017-06-16,2
WO-000961,2,2017-07-11,5
WO-000962,1,2017-05-24,9
WO-000963,1,2017-05-31,8
WO-000964,1,2017-05-26,8
WO-000965,1,2017-05-28,5
WO-000966,1,2017-05-29,3
WO-000966,2,2017-06-18,7
WO-000969,1,2017-05-28,9
WO-000972,1,2017-05-28,7
WO-000973,1,2017-05-24,6
WO-000976,1,2017-05-11,5
WO-000976,2,2017-06-08,8
WO-000980,1,2017-05-19,10
WO-000982,1,2017-05-22,8
WO-000982,2,2017-06-04,7
WO-000983,1,2017-05-12,7
WO-000984,1,2017-05-21,8
WO-000984,2,2017-06-16,8
WO-000986,1,2017-05-29,8
WO-000988,1,2017-06-15,7
WO-000989,1,2017-05-16,7
WO-000990,1,2017-05-24,6
WO-000991,1,2017-05-28,6
WO-000992,1,2017-05-13,8
WO-000996,1,2017-05-17,10
WO-000997,1,2017-06-06,6
WO-000998,1,2017-06-01,7
WO-001003,1,2017-05-17,10
WO-001004,1,2017-05-24,9
WO-001005,1,2017-05-15,7
WO-001006,1,2017-05-31,3
WO-001006,2,2017-06-12,7
WO-001007,1,2017-06-15,3
WO-001008,1,2017-05-17,7
WO-001010,1,2017-05-14,7
WO-001011,1,2017-06-06,6
WO-001013,1,2017-05-22,8
WO-001014,1,2017-05-21,8
WO-001016,1,2017-06-09,6
WO-001020,1,2017-05-17,9
WO-001023,1,2017-05-16,8
WO-001024,1,2017-05-16,8
WO-001025,1,2017-06-09,8
WO-001026,1,2017-05-16,8
WO-001028,1,2017-05-30,5
WO-001028,2,2017-06-23,8
WO-001029,1,2017-05-29,7
WO-001033,1,2017-05-24,8
WO-001034,1,2017-05-23,6
WO-001035,1,2017-06-06,7
WO-001037,1,2017-05-28,6
WO-001038,1,2017-05-28,7
WO-001039,1,2017-05-25,4
WO-001039,2,2017-06-06,6
WO-001042,1,2017-06-20,4
WO-001043,1,2017-05-31,3
WO-001043,2,2017-06-22,6
WO-001044,1,2017-05-27,8
WO-001045,1,2017-05-25,6
WO-001046,1,2017-05-29,9
WO-001047,1,2017-06-02,5
WO-001047,2,2017-06-23,9
WO-001049,1,2017-05-27,6
WO-001053,1,2017-05-23,7
WO-001058,1,2017-06-11,6
WO-001061,1,2017-06-04,10
WO-001064,1,2017-05-18,10
WO-001068,1,2017-06-09,9
WO-001069,1,2017-05-27,6
WO-001070,1,2017-05-19,9
WO-001073,1,2017-06-02,8
WO-001074,1,2017-05-29,5
WO-001074,2,2017-06-24,10
WO-001075,1,2017-06-03,7
WO-001076,1,2017-05-31,6
WO-001079,1,2017-06-06,9
WO-001081,1,2017-05-24,7
WO-001081,2,2017-06-07,8
WO-001084,1,2017-05-23,8
WO-001085,1,2017-06-16,7
WO-001086,1,2017-06-16,6
WO-001086,2,2017-07-14,6
WO-001087,1,2017-05-23,9
WO-001089,1,2017-05-26,8
WO-001093,1,2017-06-04,6
WO-001094,1,2017-06-07,6
WO-001095,1,2017-05-30,8
WO-001097,1,2017-06-10,8
WO-001098,1,2017-06-09,6
WO-001099,1,2017-05-29,6
WO-001102,1,2017-06-07,7
WO-001103,1,2017-05-27,9
WO-001110,1,2017-06-04,7
WO-001112,1,2017-06-01,10
WO-001114,1,2017-06-11,10
WO-001118,1,2017-06-16,7
WO-001120,1,2017-05-28,6
WO-001122,1,2017-06-09,9
WO-001124,1,2017-06-20,5
WO-001126,1,2017-06-09,8
WO-001127,1,2017-06-12,5
WO-001127,2,2017-07-01,9
WO-001128,1,2017-06-19,8
WO-001129,1,2017-05-27,9
WO-001131,1,2017-06-05,8
WO-001131,2,2017-06-13,9
WO-001132,1,2017-06-14,7
WO-001133,1,2017-06-04,8
WO-001136,1,2017-06-16,5
WO-001136,2,2017-07-15,8
WO-001137,1,2017-06-07,10
WO-001138,1,2017-05-25,4
WO-001138,2,2017-06-10,8
WO-001139,1,2017-06-09,9
WO-001140,1,2017-05-29,7
WO-001144,1,2017-06-18,8
WO-001146,1,2017-06-19,7
WO-001147,1,2017-06-09,6
WO-001148,1,2017-06-14,7
WO-001148,2,2017-07-05,7
WO-001151,1,2017-06-09,6
WO-001152,1,2017-06-11,6
WO-001152,2,2017-07-06,5
WO-001156,1,2017-06-12,6
WO-001157,1,2017-06-13,8
WO-001159,1,2017-06-12,9
WO-001161,1,2017-06-12,10
WO-001162,1,2017-06-13,7
WO-001163,1,2017-06-15,10
WO-001164,1,2017-06-15,8
WO-001165,1,2017-06-07,9
WO-001166,1,2017-06-07,7
WO-001167,1,2017-06-08,7
WO-001168,1,2017-06-07,8
WO-001172,1,2017-06-19,7
WO-001173,1,2017-06-24,4
WO-001173,2,2017-07-13,5
WO-001174,1,2017-06-11,8
WO-001175,1,2017-06-16,7
WO-001176,1,2017-06-04,7
WO-001178,1,2017-06-22,7
WO-001178,2,2017-07-02,8
WO-001180,1,2017-06-05,6
WO-001181,1,2017-06-18,3
WO-001181,2,2017-07-07,7
WO-001183,1,2017-06-27,5
WO-001183,2,2017-07-12,8
WO-001186,1,2017-06-20,4
WO-001186,2,2017-07-18,7
WO-001187,1,2017-06-07,9
WO-001188,1,2017-06-26,3
WO-001194,1,2017-06-11,6
WO-001196,1,2017-06-28,10
WO-001197,1,2017-06-12,9
WO-001201,1,2017-06-06,9
WO-001204,1,2017-06-18,9
WO-001205,1,2017-06-06,8
WO-001206,1,2017-06-20,7
WO-001207,1,2017-05-31,10
WO-001209,1,2017-06-11,9
WO-001211,1,2017-06-24,7
WO-001212,1,2017-06-06,10
WO-001214,1,2017-06-18,8
WO-001215,1,2017-06-29,2
WO-001215,2,2017-07-22,5
WO-001216,1,2017-07-03,6
WO-001218,1,2017-06-29,7
WO-001220,1,2017-06-12,8
WO-001221,1,2017-06-16,3
WO-001223,1,2017-06-22,7
WO-001225,1,2017-06-16,10
WO-001226,1,2017-06-04,7
WO-001228,1,2017-06-23,8
WO-001230,1,2017-06-11,7
WO-001231,1,2017-06-16,9
WO-001232,1,2017-06-21,9
WO-001233,1,2017-06-21,8
WO-001238,1,2017-06-16,7
WO-001239,1,2017-06-22,7
WO-001240,1,2017-06-18,6
WO-001241,1,2017-06-26,6
WO-001242,1,2017-06-18,6
WO-001243,1,2017-06-16,6
WO-001244,1,2017-06-22,10
WO-001246,1,2017-06-14,9
WO-001247,1,2017-06-22,9
WO-001250,1,2017-06-19,8
WO-001251,1,2017-06-28,7
WO-001252,1,2017-07-05,4
WO-001252,2,2017-07-14,9
WO-001256,1,2017-07-10,5
WO-001256,2,2017-08-05,5
WO-001258,1,2017-06-15,7
WO-001259,1,2017-06-19,8
WO-001260,1,2017-06-19,9
WO-001262,1,2017-06-14,6
WO-001264,1,2017-06-15,8
WO-001265,1,2017-06-23,8
WO-001267,1,2017-06-20,8
WO-001269,1,2017-06-12,7
WO-001270,1,2017-06-16,9
WO-001271,1,2017-06-21,5
WO-001271,2,2017-07-18,9
WO-001272,1,2017-06-19,7
WO-001273,1,2017-06-25,10
WO-001274,1,2017-06-20,10
WO-001274,2,2017-07-13,9
WO-001276,1,2017-06-14,6
WO-001278,1,2017-07-02,7
WO-001279,1,2017-06-13,8
WO-001280,1,2017-06-28,8
WO-001281,1,2017-06-18,8
WO-001282,1,2017-06-20,8
WO-001283,1,2017-06-23,4
WO-001285,1,2017-06-20,9
WO-001286,1,2017-06-27,8
WO-001287,1,2017-06-24,7
WO-001288,1,2017-07-04,2
WO-001288,2,2017-07-28,6
WO-001289,1,2017-06-23,9
WO-001293,1,2017-06-25,8
WO-001295,1,2017-06-30,6
WO-001298,1,2017-07-01,7
WO-001300,1,2017-07-04,6
WO-001301,1,2017-06-29,8
WO-001302,1,2017-06-29,9
WO-001306,1,2017-06-28,8
WO-001308,1,2017-06-29,8
WO-001309,1,2017-06-17,9
WO-001311,1,2017-06-25,6
WO-001312,1,2017-06-25,10
WO-001313,1,2017-06-28,9
WO-001315,1,2017-06-26,7
WO-001317,1,2017-07-02,7
WO-001319,1,2017-06-18,6
WO-001319,2,2017-07-10,7
WO-001321,1,2017-06-26,10
WO-001322,1,2017-06-21,5
WO-001322,2,2017-07-05,8
WO-001326,1,2017-06-17,6
WO-001327,1,2017-07-04,10
WO-001328,1,2017-06-15,10
WO-001329,1,2017-06-15,8
WO-001330,1,2017-06-28,10
WO-001331,1,2017-06-28,4
WO-001331,2,2017-07-09,5
WO-001337,1,2017-06-21,7
WO-001337,2,2017-07-14,4
