work_order_id,payment_sequence,payment_method,paid_date,payment_amount
WO-000038,1,purchase_order,2017-02-19,447.82
WO-000039,1,bank_transfer,2017-02-09,2549.8
WO-000040,1,corporate_card,2017-01-29,238.88
WO-000040,2,bank_transfer,2017-02-15,557.25
WO-000041,1,bank_transfer,2017-02-17,879.6
WO-000042,1,bank_transfer,2017-02-07,649.99
WO-000043,1,bank_transfer,2017-01-27,2980.73
WO-000044,1,purchase_order,2017-03-07,2491.6
WO-000045,1,purchase_order,2017-02-03,1758.05
WO-000046,1,bank_transfer,2017-03-01,926.5
WO-000047,1,purchase_order,2017-02-24,1369.83
WO-000048,1,corporate_card,2017-02-19,1443.97
WO-000049,1,bank_transfer,2017-02-11,841.65
WO-000050,1,purchase_order,2017-03-17,1310.12
WO-000051,1,bank_transfer,2017-01-18,283.61
WO-000051,2,purchase_order,2017-02-27,201.76
WO-000052,1,purchase_order,2017-01-25,398.68
WO-000053,1,purchase_order,2017-01-30,1925.14
WO-000054,1,corporate_card,2017-03-15,2873.25
WO-000055,1,bank_transfer,2017-02-21,715.73
WO-000056,1,purchase_order,2017-02-14,3502.53
WO-000057,1,corporate_card,2017-02-22,359.88
WO-000057,2,bank_transfer,2017-04-05,221.48
WO-000058,1,corporate_card,2017-02-24,1481.76
WO-000059,1,purchase_order,2017-02-25,948.0
WO-000060,1,purchase_order,2017-03-04,472.69
WO-000061,1,bank_transfer,2017-02-08,891.36
WO-000062,1,corporate_card,2017-03-16,147.25
WO-000062,2,corporate_card,2017-04-20,40.71
WO-000062,3,bank_transfer,2017-05-18,39.1
WO-000063,1,corporate_card,2017-03-02,1180.63
WO-000064,1,bank_transfer,2017-02-07,1380.1
WO-000066,1,purchase_order,2017-02-02,2124.87
WO-000067,1,bank_transfer,2017-02-06,878.81
WO-000068,1,bank_transfer,2017-02-08,530.45
WO-000069,1,bank_transfer,2017-03-20,1447.31
WO-000070,1,bank_transfer,2017-02-21,2880.34
WO-000072,1,bank_transfer,2017-02-23,583.46
WO-000073,1,bank_transfer,2017-01-18,164.55
WO-000073,2,bank_transfer,2017-02-03,199.17
WO-000074,1,bank_transfer,2017-01-25,1138.69
WO-000075,1,bank_transfer,2017-03-08,309.46
WO-000077,1,purchase_order,2017-02-10,1355.26
WO-000078,1,bank_transfer,2017-02-10,888.62
WO-000079,1,bank_transfer,2017-02-14,1808.55
WO-000080,1,bank_transfer,2017-02-12,305.29
WO-000081,1,bank_transfer,2017-02-05,202.22
WO-000081,2,bank_transfer,2017-02-20,442.94
WO-000082,1,bank_transfer,2017-03-03,1333.96
WO-000083,1,bank_transfer,2017-03-12,458.62
WO-000083,2,bank_transfer,2017-04-16,183.7
WO-000083,3,bank_transfer,2017-05-22,286.07
WO-000084,1,corporate_card,2017-01-29,713.48
WO-000085,1,purchase_order,2017-03-03,760.73
WO-000086,1,purchase_order,2017-03-08,3437.43
WO-000087,1,corporate_card,2017-03-30,517.99
WO-000087,2,bank_transfer,2017-05-08,1467.4
WO-000088,1,bank_transfer,2017-01-19,421.87
WO-000089,1,bank_transfer,2017-02-15,1012.95
WO-000090,1,bank_transfer,2017-03-28,488.51
WO-000090,2,bank_transfer,2017-05-08,161.85
WO-000091,1,purchase_order,2017-02-04,134.14
WO-000091,2,purchase_order,2017-02-27,157.17
WO-000092,1,bank_transfer,2017-02-06,333.75
WO-000092,2,bank_transfer,2017-03-13,594.7
WO-000093,1,bank_transfer,2017-04-08,529.97
WO-000094,1,bank_transfer,2017-03-28,968.23
WO-000095,1,bank_transfer,2017-03-17,1432.25
WO-000095,2,purchase_order,2017-04-18,418.68
WO-000096,1,bank_transfer,2017-01-21,887.82
WO-000096,2,bank_transfer,2017-02-19,473.73
WO-000097,1,bank_transfer,2017-02-20,1422.51
WO-000097,2,bank_transfer,2017-03-10,792.68
WO-000098,1,purchase_order,2017-02-14,1975.58
WO-000099,1,corporate_card,2017-01-25,708.07
WO-000099,2,purchase_order,2017-03-08,1429.33
WO-000101,1,purchase_order,2017-02-24,1318.55
WO-000102,1,bank_transfer,2017-03-08,994.66
WO-000103,1,purchase_order,2017-03-08,798.32
WO-000104,1,purchase_order,2017-03-10,1016.71
WO-000105,1,bank_transfer,2017-02-27,1414.04
WO-000106,1,bank_transfer,2017-03-14,501.3
WO-000107,1,purchase_order,2017-02-13,3315.38
WO-000107,2,purchase_order,2017-03-22,1249.39
WO-000108,1,purchase_order,2017-02-13,959.75
WO-000109,1,purchase_order,2017-03-03,157.97
WO-000110,1,bank_transfer,2017-03-02,172.1
WO-000110,2,bank_transfer,2017-03-18,72.13
WO-000111,1,bank_transfer,2017-01-28,2096.63
WO-000112,1,corporate_card,2017-03-09,790.81
WO-000113,1,corporate_card,2017-03-18,1230.08
WO-000113,2,bank_transfer,2017-04-11,1815.85
WO-000114,1,bank_transfer,2017-03-14,1550.41
WO-000115,1,bank_transfer,2017-02-10,320.42
WO-000115,2,bank_transfer,2017-03-02,278.84
WO-000116,1,corporate_card,2017-03-14,1172.08
WO-000117,1,bank_transfer,2017-02-17,532.62
WO-000117,2,purchase_order,2017-04-02,553.33
WO-000118,1,purchase_order,2017-03-28,227.14
WO-000118,2,bank_transfer,2017-04-29,106.86
WO-000118,3,bank_transfer,2017-05-26,243.52
WO-000119,1,corporate_card,2017-03-01,618.11
WO-000120,1,purchase_order,2017-04-03,1248.74
WO-000121,1,bank_transfer,2017-03-21,277.91
WO-000121,2,bank_transfer,2017-04-09,726.91
WO-000122,1,purchase_order,2017-03-21,436.24
WO-000123,1,bank_transfer,2017-02-06,1080.45
WO-000124,1,corporate_card,2017-04-03,986.84
WO-000124,2,purchase_order,2017-04-25,411.47
WO-000125,1,corporate_card,2017-03-10,1594.0
WO-000126,1,purchase_order,2017-02-13,2535.25
WO-000127,1,bank_transfer,2017-04-11,1462.0
WO-000128,1,purchase_order,2017-02-05,3905.09
WO-000129,1,bank_transfer,2017-04-19,2766.47
WO-000130,1,purchase_order,2017-02-27,331.26
WO-000130,2,purchase_order,2017-04-01,275.53
WO-000130,3,corporate_card,2017-04-21,220.0
WO-000131,1,corporate_card,2017-03-04,714.75
WO-000132,1,bank_transfer,2017-03-03,990.06
WO-000133,1,purchase_order,2017-02-17,242.28
WO-000133,2,bank_transfer,2017-03-31,132.08
WO-000133,3,purchase_order,2017-04-25,237.12
WO-000134,1,bank_transfer,2017-03-25,2035.1
WO-000135,1,corporate_card,2017-03-13,3104.36
WO-000136,1,corporate_card,2017-03-15,962.32
WO-000137,1,bank_transfer,2017-02-10,558.09
WO-000138,1,bank_transfer,2017-04-02,769.93
WO-000139,1,bank_transfer,2017-03-20,877.23
WO-000140,1,bank_transfer,2017-04-12,854.52
WO-000141,1,bank_transfer,2017-02-13,313.28
WO-000142,1,bank_transfer,2017-02-26,1055.15
WO-000143,1,bank_transfer,2017-03-25,900.2
WO-000144,1,bank_transfer,2017-02-28,668.02
WO-000145,1,purchase_order,2017-03-03,1409.83
WO-000146,1,purchase_order,2017-02-27,2815.36
WO-000147,1,bank_transfer,2017-03-04,1229.34
WO-000148,1,bank_transfer,2017-03-01,1378.32
WO-000148,2,bank_transfer,2017-04-03,553.66
WO-000149,1,purchase_order,2017-03-09,593.61
WO-000150,1,purchase_order,2017-04-01,581.62
WO-000151,1,purchase_order,2017-03-30,3660.0
WO-000152,1,bank_transfer,2017-03-01,658.21
WO-000152,2,purchase_order,2017-03-18,526.35
WO-000152,3,bank_transfer,2017-05-01,766.21
WO-000153,1,purchase_order,2017-03-06,771.8
WO-000154,1,corporate_card,2017-03-13,594.63
WO-000155,1,bank_transfer,2017-03-24,2153.34
WO-000156,1,purchase_order,2017-03-28,465.8
WO-000157,1,corporate_card,2017-03-06,455.89
WO-000158,1,bank_transfer,2017-03-12,2284.66
WO-000159,1,purchase_order,2017-02-20,3991.42
WO-000160,1,corporate_card,2017-03-03,631.07
WO-000160,2,bank_transfer,2017-03-29,457.34
WO-000161,1,bank_transfer,2017-03-22,2996.71
WO-000162,1,purchase_order,2017-03-25,360.69
WO-000162,2,purchase_order,2017-04-22,142.75
WO-000163,1,purchase_order,2017-02-24,700.28
WO-000164,1,bank_transfer,2017-02-19,1172.01
WO-000165,1,corporate_card,2017-03-22,526.6
WO-000166,1,purchase_order,2017-03-14,574.35
WO-000167,1,bank_transfer,2017-03-02,127.72
WO-000167,2,purchase_order,2017-03-31,204.99
WO-000167,3,corporate_card,2017-05-06,659.1
WO-000168,1,purchase_order,2017-03-21,429.7
WO-000169,1,purchase_order,2017-03-23,1187.48
WO-000170,1,purchase_order,2017-03-19,762.45
WO-000171,1,bank_transfer,2017-04-13,953.73
WO-000172,1,purchase_order,2017-03-21,1760.52
WO-000173,1,purchase_order,2017-04-02,334.15
WO-000173,2,bank_transfer,2017-04-20,461.42
WO-000174,1,bank_transfer,2017-03-13,761.2
WO-000175,1,bank_transfer,2017-03-26,143.48
WO-000175,2,bank_transfer,2017-04-14,491.42
WO-000176,1,purchase_order,2017-04-01,173.88
WO-000176,2,purchase_order,2017-05-09,395.96
WO-000177,1,corporate_card,2017-03-30,2554.47
WO-000178,1,bank_transfer,2017-02-26,1412.59
WO-000179,1,bank_transfer,2017-03-10,1875.76
WO-000181,1,bank_transfer,2017-03-10,1337.59
WO-000182,1,bank_transfer,2017-03-17,626.33
WO-000182,2,bank_transfer,2017-04-19,851.27
WO-000183,1,bank_transfer,2017-02-22,127.38
WO-000183,2,purchase_order,2017-03-31,125.85
WO-000183,3,corporate_card,2017-05-03,224.71
WO-000184,1,bank_transfer,2017-02-20,1460.96
WO-000184,2,bank_transfer,2017-03-31,503.89
WO-000185,1,bank_transfer,2017-03-18,1053.29
WO-000185,2,bank_transfer,2017-04-04,370.52
WO-000186,1,purchase_order,2017-03-15,2002.4
WO-000187,1,bank_transfer,2017-02-26,269.14
WO-000187,2,purchase_order,2017-03-14,107.45
WO-000187,3,bank_transfer,2017-04-08,214.2
WO-000188,1,bank_transfer,2017-03-10,358.45
WO-000188,2,purchase_order,2017-04-05,458.95
WO-000189,1,corporate_card,2017-02-17,2081.91
WO-000190,1,purchase_order,2017-03-18,1119.67
WO-000192,1,bank_transfer,2017-03-30,233.5
WO-000193,1,bank_transfer,2017-04-06,779.99
WO-000194,1,bank_transfer,2017-03-03,1067.37
WO-000195,1,bank_transfer,2017-04-12,1780.82
WO-000196,1,bank_transfer,2017-03-09,584.41
WO-000197,1,corporate_card,2017-02-22,386.63
WO-000198,1,purchase_order,2017-02-13,4219.59
WO-000199,1,corporate_card,2017-02-26,2226.27
WO-000200,1,bank_transfer,2017-03-31,512.71
WO-000200,2,bank_transfer,2017-04-23,754.76
WO-000201,1,bank_transfer,2017-02-22,389.04
WO-000201,2,bank_transfer,2017-03-31,74.43
WO-000201,3,bank_transfer,2017-05-05,87.34
WO-000203,1,bank_transfer,2017-03-12,879.86
WO-000204,1,bank_transfer,2017-03-30,493.87
WO-000205,1,bank_transfer,2017-03-26,1447.83
WO-000206,1,purchase_order,2017-03-08,622.31
WO-000206,2,bank_transfer,2017-04-09,1510.68
WO-000207,1,bank_transfer,2017-03-24,1219.17
WO-000208,1,bank_transfer,2017-02-26,765.18
WO-000209,1,purchase_order,2017-03-13,1421.39
WO-000210,1,purchase_order,2017-03-28,2075.76
WO-000211,1,bank_transfer,2017-03-21,442.41
WO-000211,2,corporate_card,2017-04-24,231.88
WO-000213,1,corporate_card,2017-04-26,464.25
WO-000215,1,bank_transfer,2017-04-07,187.79
WO-000215,2,purchase_order,2017-05-03,312.53
WO-000216,1,bank_transfer,2017-03-14,1289.54
WO-000217,1,purchase_order,2017-02-26,1675.43
WO-000218,1,corporate_card,2017-02-22,38.83
WO-000218,2,purchase_order,2017-03-10,139.24
WO-000219,1,purchase_order,2017-03-28,1595.85
WO-000220,1,bank_transfer,2017-03-06,1747.66
WO-000221,1,bank_transfer,2017-03-07,1686.72
WO-000222,1,purchase_order,2017-03-12,564.59
WO-000223,1,purchase_order,2017-04-09,556.14
WO-000224,1,corporate_card,2017-04-04,512.62
WO-000224,2,bank_transfer,2017-05-13,913.96
WO-000225,1,bank_transfer,2017-04-02,852.04
WO-000226,1,bank_transfer,2017-03-09,1095.05
WO-000227,1,purchase_order,2017-03-28,613.35
WO-000228,1,bank_transfer,2017-03-24,2090.64
WO-000228,2,bank_transfer,2017-04-27,876.55
WO-000228,3,bank_transfer,2017-06-06,827.95
WO-000229,1,corporate_card,2017-04-08,1848.21
WO-000230,1,bank_transfer,2017-03-30,2004.38
WO-000231,1,purchase_order,2017-03-14,379.54
WO-000232,1,bank_transfer,2017-03-11,694.2
WO-000233,1,purchase_order,2017-05-11,522.7
WO-000235,1,purchase_order,2017-04-12,2591.3
WO-000236,1,purchase_order,2017-04-05,761.31
WO-000237,1,bank_transfer,2017-03-29,1571.91
WO-000238,1,bank_transfer,2017-04-22,1600.1
WO-000238,2,purchase_order,2017-05-31,876.05
WO-000239,1,bank_transfer,2017-03-24,90.95
WO-000239,2,bank_transfer,2017-04-17,175.76
WO-000239,3,bank_transfer,2017-05-30,146.35
WO-000240,1,purchase_order,2017-03-19,1313.16
WO-000241,1,bank_transfer,2017-03-30,1088.16
WO-000242,1,purchase_order,2017-03-19,82.19
WO-000242,2,bank_transfer,2017-04-22,178.72
WO-000242,3,corporate_card,2017-05-28,305.92
WO-000243,1,purchase_order,2017-04-10,340.05
WO-000244,1,corporate_card,2017-04-03,3422.86
WO-000245,1,corporate_card,2017-03-17,376.09
WO-000246,1,bank_transfer,2017-03-18,1250.62
WO-000247,1,bank_transfer,2017-04-09,2373.14
WO-000248,1,corporate_card,2017-03-02,1591.97
WO-000249,1,purchase_order,2017-02-21,641.15
WO-000250,1,bank_transfer,2017-04-21,1556.59
WO-000251,1,bank_transfer,2017-04-16,271.4
WO-000251,2,bank_transfer,2017-05-16,99.52
WO-000252,1,purchase_order,2017-03-13,243.23
WO-000253,1,purchase_order,2017-03-29,612.45
WO-000253,2,purchase_order,2017-04-14,1049.62
WO-000254,1,purchase_order,2017-03-24,1051.08
WO-000255,1,purchase_order,2017-03-19,556.0
WO-000256,1,bank_transfer,2017-03-22,925.59
WO-000256,2,corporate_card,2017-05-02,197.88
WO-000256,3,purchase_order,2017-06-04,215.24
WO-000257,1,bank_transfer,2017-03-16,941.98
WO-000258,1,purchase_order,2017-04-04,560.28
WO-000259,1,bank_transfer,2017-03-22,1116.89
WO-000260,1,purchase_order,2017-03-17,1174.58
WO-000261,1,purchase_order,2017-03-19,666.44
WO-000262,1,purchase_order,2017-04-02,661.45
WO-000262,2,purchase_order,2017-04-25,418.41
WO-000263,1,corporate_card,2017-04-12,629.71
WO-000264,1,corporate_card,2017-03-13,990.34
WO-000265,1,bank_transfer,2017-04-08,383.49
WO-000265,2,bank_transfer,2017-05-11,798.82
WO-000266,1,purchase_order,2017-03-03,2032.17
WO-000267,1,bank_transfer,2017-03-09,1622.58
WO-000268,1,corporate_card,2017-03-26,502.22
WO-000269,1,bank_transfer,2017-04-17,952.68
WO-000270,1,bank_transfer,2017-03-16,762.2
WO-000271,1,purchase_order,2017-04-11,2207.45
WO-000273,1,purchase_order,2017-03-13,787.43
WO-000274,1,purchase_order,2017-04-12,195.66
WO-000274,2,corporate_card,2017-05-11,467.04
WO-000275,1,purchase_order,2017-04-17,1059.65
WO-000275,2,bank_transfer,2017-05-11,829.7
WO-000276,1,purchase_order,2017-03-13,1360.63
WO-000277,1,corporate_card,2017-03-31,931.33
WO-000278,1,bank_transfer,2017-04-27,964.7
WO-000279,1,purchase_order,2017-05-01,286.81
WO-000280,1,corporate_card,2017-02-24,1124.65
WO-000281,1,bank_transfer,2017-04-17,421.67
WO-000281,2,bank_transfer,2017-05-07,130.77
WO-000282,1,purchase_order,2017-04-09,1748.97
WO-000283,1,purchase_order,2017-03-29,486.41
WO-000283,2,purchase_order,2017-05-03,285.95
WO-000284,1,purchase_order,2017-03-20,545.49
WO-000285,1,bank_transfer,2017-04-02,149.28
WO-000285,2,corporate_card,2017-04-20,290.53
WO-000286,1,bank_transfer,2017-04-05,630.1
WO-000287,1,purchase_order,2017-03-22,634.08
WO-000288,1,purchase_order,2017-03-04,828.48
WO-000288,2,corporate_card,2017-03-27,322.18
WO-000289,1,purchase_order,2017-02-17,1007.87
WO-000290,1,purchase_order,2017-02-25,2052.85
WO-000291,1,purchase_order,2017-03-17,1287.59
WO-000292,1,bank_transfer,2017-03-11,1305.82
WO-000293,1,bank_transfer,2017-03-10,746.24
WO-000294,1,bank_transfer,2017-04-02,865.94
WO-000295,1,purchase_order,2017-03-28,302.43
WO-000295,2,bank_transfer,2017-04-21,346.02
WO-000295,3,bank_transfer,2017-06-03,401.35
WO-000296,1,bank_transfer,2017-04-10,3027.43
WO-000297,1,bank_transfer,2017-04-06,679.3
WO-000298,1,bank_transfer,2017-04-27,2261.72
WO-000299,1,purchase_order,2017-02-21,741.93
WO-000300,1,purchase_order,2017-03-19,3465.06
WO-000300,2,corporate_card,2017-04-15,1049.94
WO-000300,3,bank_transfer,2017-05-02,2132.27
WO-000301,1,bank_transfer,2017-02-28,1441.19
WO-000301,2,bank_transfer,2017-03-17,1002.52
WO-000302,1,purchase_order,2017-04-25,573.11
WO-000303,1,bank_transfer,2017-04-11,380.81
WO-000303,2,corporate_card,2017-05-12,315.26
WO-000304,1,bank_transfer,2017-04-13,1077.99
WO-000305,1,corporate_card,2017-03-19,1269.46
WO-000306,1,bank_transfer,2017-04-02,1460.11
WO-000307,1,purchase_order,2017-04-13,182.56
WO-000307,2,purchase_order,2017-05-11,195.6
WO-000308,1,corporate_card,2017-03-22,539.05
WO-000309,1,bank_transfer,2017-04-18,717.69
WO-000310,1,bank_transfer,2017-02-21,1964.37
WO-000311,1,bank_transfer,2017-03-17,556.97
WO-000312,1,purchase_order,2017-03-22,3927.99
WO-000314,1,bank_transfer,2017-05-10,1066.9
WO-000315,1,bank_transfer,2017-04-09,1421.28
WO-000316,1,corporate_card,2017-04-18,402.55
WO-000317,1,purchase_order,2017-04-06,662.05
WO-000318,1,bank_transfer,2017-04-03,754.68
WO-000318,2,purchase_order,2017-04-28,380.78
WO-000319,1,corporate_card,2017-03-14,470.78
WO-000320,1,bank_transfer,2017-03-23,474.88
WO-000320,2,purchase_order,2017-04-24,241.5
WO-000321,1,bank_transfer,2017-05-24,1018.07
WO-000322,1,bank_transfer,2017-04-15,1819.5
WO-000323,1,bank_transfer,2017-02-20,497.38
WO-000323,2,bank_transfer,2017-03-16,540.04
WO-000323,3,bank_transfer,2017-04-08,107.2
WO-000324,1,bank_transfer,2017-04-07,1330.19
WO-000325,1,purchase_order,2017-02-23,416.4
WO-000325,2,bank_transfer,2017-04-03,1557.41
WO-000325,3,bank_transfer,2017-05-07,1945.69
WO-000326,1,bank_transfer,2017-04-05,858.1
WO-000328,1,bank_transfer,2017-03-22,1018.68
WO-000329,1,purchase_order,2017-03-09,873.07
WO-000329,2,purchase_order,2017-04-04,399.86
WO-000330,1,purchase_order,2017-03-11,623.79
WO-000331,1,corporate_card,2017-04-06,585.24
WO-000332,1,corporate_card,2017-03-17,1627.17
WO-000333,1,purchase_order,2017-05-13,369.25
WO-000333,2,purchase_order,2017-06-11,889.48
WO-000334,1,bank_transfer,2017-04-06,544.52
WO-000335,1,corporate_card,2017-03-26,3992.24
WO-000336,1,purchase_order,2017-05-24,500.05
WO-000336,2,bank_transfer,2017-07-04,432.9
WO-000337,1,bank_transfer,2017-03-17,926.97
WO-000338,1,bank_transfer,2017-03-11,3381.3
WO-000339,1,bank_transfer,2017-03-17,265.98
WO-000339,2,purchase_order,2017-04-03,425.18
WO-000340,1,bank_transfer,2017-03-05,2227.56
WO-000341,1,bank_transfer,2017-04-16,212.26
WO-000342,1,corporate_card,2017-04-10,581.84
WO-000343,1,purchase_order,2017-03-09,878.97
WO-000344,1,purchase_order,2017-04-01,936.64
WO-000345,1,corporate_card,2017-03-21,626.09
WO-000345,2,bank_transfer,2017-04-30,693.62
WO-000346,1,purchase_order,2017-03-28,432.07
WO-000347,1,corporate_card,2017-02-23,633.08
WO-000348,1,bank_transfer,2017-04-05,328.4
WO-000348,2,bank_transfer,2017-05-15,784.82
WO-000350,1,purchase_order,2017-04-15,272.48
WO-000350,2,corporate_card,2017-05-07,145.53
WO-000351,1,bank_transfer,2017-03-29,373.36
WO-000351,2,corporate_card,2017-05-01,172.75
WO-000353,1,corporate_card,2017-03-18,594.38
WO-000354,1,bank_transfer,2017-04-18,514.83
WO-000354,2,bank_transfer,2017-05-15,461.25
WO-000355,1,purchase_order,2017-04-14,412.16
WO-000355,2,bank_transfer,2017-05-02,294.95
WO-000356,1,purchase_order,2017-03-02,1728.52
WO-000358,1,purchase_order,2017-04-30,986.39
WO-000359,1,corporate_card,2017-05-04,712.71
WO-000360,1,purchase_order,2017-03-20,532.34
WO-000361,1,bank_transfer,2017-04-14,841.87
WO-000362,1,corporate_card,2017-04-14,1667.67
WO-000363,1,bank_transfer,2017-03-11,534.56
WO-000365,1,bank_transfer,2017-03-15,1149.23
WO-000366,1,bank_transfer,2017-04-17,434.62
WO-000366,2,bank_transfer,2017-05-21,227.28
WO-000366,3,bank_transfer,2017-06-18,228.53
WO-000367,1,purchase_order,2017-04-12,1277.45
WO-000368,1,bank_transfer,2017-04-01,3033.84
WO-000369,1,bank_transfer,2017-04-14,1350.27
WO-000370,1,bank_transfer,2017-03-31,1540.83
WO-000371,1,purchase_order,2017-04-14,863.57
WO-000372,1,bank_transfer,2017-03-26,379.74
WO-000373,1,bank_transfer,2017-03-22,308.87
WO-000374,1,corporate_card,2017-04-11,1785.11
WO-000375,1,bank_transfer,2017-04-25,1815.1
WO-000375,2,bank_transfer,2017-05-26,1044.53
WO-000376,1,purchase_order,2017-04-24,1302.6
WO-000377,1,corporate_card,2017-04-18,2845.65
WO-000378,1,bank_transfer,2017-03-15,2644.7
WO-000379,1,bank_transfer,2017-04-21,846.65
WO-000380,1,bank_transfer,2017-04-11,818.88
WO-000382,1,purchase_order,2017-05-04,659.48
WO-000383,1,purchase_order,2017-04-17,436.09
WO-000384,1,purchase_order,2017-04-23,1264.34
WO-000385,1,purchase_order,2017-03-12,1561.65
WO-000386,1,bank_transfer,2017-04-10,377.72
WO-000387,1,corporate_card,2017-04-18,703.73
WO-000388,1,bank_transfer,2017-03-03,1528.71
WO-000389,1,purchase_order,2017-03-19,460.14
WO-000389,2,bank_transfer,2017-04-16,1930.92
WO-000390,1,purchase_order,2017-04-25,1870.44
WO-000391,1,purchase_order,2017-04-21,1620.07
WO-000392,1,bank_transfer,2017-03-15,667.45
WO-000393,1,purchase_order,2017-03-12,910.83
WO-000394,1,corporate_card,2017-05-05,958.42
WO-000395,1,purchase_order,2017-05-09,454.28
WO-000395,2,purchase_order,2017-06-19,294.42
WO-000396,1,bank_transfer,2017-05-09,561.82
WO-000397,1,bank_transfer,2017-04-28,479.66
WO-000397,2,purchase_order,2017-05-29,633.35
WO-000398,1,purchase_order,2017-04-11,1992.08
WO-000399,1,bank_transfer,2017-04-17,1463.46
WO-000400,1,bank_transfer,2017-03-26,1381.88
WO-000401,1,bank_transfer,2017-04-13,1933.88
WO-000402,1,corporate_card,2017-03-04,4008.81
WO-000403,1,bank_transfer,2017-04-27,737.8
WO-000406,1,corporate_card,2017-04-12,908.6
WO-000407,1,purchase_order,2017-04-09,364.58
WO-000408,1,corporate_card,2017-05-23,560.46
WO-000408,2,bank_transfer,2017-06-17,565.7
WO-000409,1,bank_transfer,2017-05-06,1004.94
WO-000410,1,bank_transfer,2017-05-01,338.57
WO-000410,2,purchase_order,2017-05-19,826.31
WO-000411,1,bank_transfer,2017-04-16,1964.56
WO-000412,1,bank_transfer,2017-04-02,952.58
WO-000413,1,bank_transfer,2017-04-29,1500.88
WO-000414,1,corporate_card,2017-05-17,264.47
WO-000414,2,bank_transfer,2017-06-10,447.62
WO-000414,3,bank_transfer,2017-07-07,87.06
WO-000415,1,bank_transfer,2017-04-13,1039.03
WO-000416,1,purchase_order,2017-04-04,1389.38
WO-000417,1,corporate_card,2017-03-29,292.25
WO-000418,1,purchase_order,2017-03-09,200.77
WO-000418,2,purchase_order,2017-03-31,225.34
WO-000419,1,bank_transfer,2017-04-05,1223.36
WO-000420,1,purchase_order,2017-04-14,647.57
WO-000420,2,corporate_card,2017-05-07,702.74
WO-000421,1,purchase_order,2017-03-23,517.91
WO-000421,2,bank_transfer,2017-05-02,1016.15
WO-000422,1,purchase_order,2017-03-26,479.09
WO-000423,1,purchase_order,2017-04-04,2231.8
WO-000423,2,purchase_order,2017-04-23,437.31
WO-000424,1,bank_transfer,2017-03-10,183.97
WO-000424,2,corporate_card,2017-03-27,104.09
WO-000425,1,purchase_order,2017-04-07,987.71
WO-000426,1,bank_transfer,2017-04-11,147.58
WO-000426,2,purchase_order,2017-05-13,23.32
WO-000427,1,purchase_order,2017-03-20,362.81
WO-000428,1,bank_transfer,2017-04-30,1755.62
WO-000429,1,corporate_card,2017-04-07,692.27
WO-000430,1,bank_transfer,2017-03-28,917.27
WO-000431,1,corporate_card,2017-04-24,2227.56
WO-000432,1,purchase_order,2017-03-26,841.04
WO-000432,2,corporate_card,2017-04-15,649.59
WO-000432,3,bank_transfer,2017-05-18,664.97
WO-000433,1,purchase_order,2017-04-21,328.99
WO-000433,2,bank_transfer,2017-05-18,189.33
WO-000434,1,bank_transfer,2017-04-29,429.41
WO-000434,2,bank_transfer,2017-06-01,473.34
WO-000435,1,corporate_card,2017-05-24,661.5
WO-000436,1,bank_transfer,2017-05-19,320.04
WO-000437,1,purchase_order,2017-04-19,302.43
WO-000438,1,bank_transfer,2017-04-12,362.74
WO-000438,2,bank_transfer,2017-05-21,224.23
WO-000438,3,purchase_order,2017-06-23,327.83
